"","LHS","RHS","support","confidence","coverage","lift","count"
"9","{curb}","{feeler}",0.00018578727357176,0.75,0.000247716364762347,3875.4,24
"8","{feeler}","{curb}",0.00018578727357176,0.96,0.000193528409970584,3875.4,24
"13","{carpool}","{critic}",0.000224492955565877,1,0.000224492955565877,3588.33333333333,29
"14","{critic}","{carpool}",0.000224492955565877,0.805555555555556,0.00027868091035764,3588.33333333333,29
"31","{maple}","{syrup}",0.00025545750116117,0.942857142857143,0.000270939773958817,3205.21804511278,33
"32","{syrup}","{maple}",0.00025545750116117,0.868421052631579,0.000294163183155287,3205.21804511278,33
"28","{tin}","{foil}",0.000170305000774114,0.758620689655172,0.000224492955565877,3062.45689655172,22
"29","{foil}","{tin}",0.000170305000774114,0.6875,0.000247716364762347,3062.45689655172,22
"141","{states}","{united}",0.000286422046756464,0.973684210526316,0.000294163183155287,2734.35926773455,37
"142","{united}","{states}",0.000286422046756464,0.804347826086957,0.000356092274345874,2734.35926773455,37
"33","{mech}","{arena}",0.000216751819167054,0.756756756756757,0.000286422046756464,2384.33750823995,28
"34","{arena}","{mech}",0.000216751819167054,0.682926829268293,0.000317386592351757,2384.33750823995,28
"18","{rian}","{johnson}",0.000170305000774114,0.88,0.000193528409970584,2228.98823529412,22
"56","{robin}","{hood}",0.000278680910357641,0.837209302325581,0.000332868865149404,2207.1570953963,36
"57","{hood}","{robin}",0.000278680910357641,0.73469387755102,0.000379315683542344,2207.1570953963,36
