"","LHS","RHS","support","confidence","coverage","lift","count"
"1","{bytedance,tencent}","{tiktok}",0.000170305000774114,0.846153846153846,0.000201269546369407,290.707855973813,22
"2","{bytedance,tiktok}","{tencent}",0.000170305000774114,0.916666666666667,0.00018578727357176,1012.09401709402,22
"3","{tencent,tiktok}","{bytedance}",0.000170305000774114,0.846153846153846,0.000201269546369407,3769.17771883289,22
"4","{bytedance,tencent}","{own}",0.00018578727357176,0.923076923076923,0.000201269546369407,383.418253771952,24
"5","{bytedance,own}","{tencent}",0.00018578727357176,0.888888888888889,0.00020901068276823,981.424501424501,24
"6","{bytedance,tiktok}","{own}",0.000178046137172937,0.958333333333333,0.00018578727357176,398.06270096463,23
"7","{bytedance,own}","{tiktok}",0.000178046137172937,0.851851851851852,0.00020901068276823,292.66548463357,23
"8","{own,tiktok}","{bytedance}",0.000178046137172937,0.741935483870968,0.000239975228363524,3304.93882091212,23
"9","{bauer,der8auer}","{farmer}",0.000170305000774114,0.88,0.000193528409970584,1148.26666666667,22
"10","{der8auer,farmer}","{bauer}",0.000170305000774114,0.733333333333333,0.0002322340919647,1088.87356321839,22
"11","{bauer,der8auer}","{der}",0.000178046137172937,0.92,0.000193528409970584,1131.86285714286,23
"12","{der,der8auer}","{bauer}",0.000178046137172937,0.958333333333333,0.00018578727357176,1422.95977011494,23
"13","{ad,vance}","{youtube}",0.000178046137172937,0.851851851851852,0.00020901068276823,76.9526029526029,23
"14","{geep,scrapyard}","{war}",0.000356092274345874,0.958333333333333,0.000371574547143521,151.526927784578,46
"15","{geep,war}","{scrapyard}",0.000356092274345874,0.938775510204082,0.000379315683542344,1924.93683187561,46
"16","{scrapyard,war}","{geep}",0.000356092274345874,0.793103448275862,0.000448985911131754,1679.55907292256,46
"17","{geep,linus}","{scrapyard}",0.000178046137172937,0.92,0.000193528409970584,1886.4380952381,23
"18","{linus,scrapyard}","{geep}",0.000178046137172937,0.793103448275862,0.000224492955565877,1679.55907292256,23
"19","{nano,tube}","{carbon}",0.000278680910357641,0.972972972972973,0.000286422046756464,726.523980628027,36
"20","{carbon,nano}","{tube}",0.000278680910357641,0.878048780487805,0.000317386592351757,1169.34372642696,36
"21","{carbon,tube}","{nano}",0.000278680910357641,0.923076923076923,0.000301904319554111,2055.9151193634,36
"22","{linus,scrapyard}","{war}",0.000193528409970584,0.862068965517241,0.000224492955565877,136.306081965137,25
"23","{11th,gen}","{intel}",0.000193528409970584,0.625,0.000309645455952934,17.5592648977816,25
"24","{11th,intel}","{gen}",0.000193528409970584,0.892857142857143,0.000216751819167054,162.678823292364,25
"25","{bauer,farmer}","{der}",0.000433503638334107,0.823529411764706,0.000526397275119988,1013.17647058824,56
"26","{bauer,der}","{farmer}",0.000433503638334107,0.746666666666667,0.000580585229911751,974.286868686869,56
"27","{der,farmer}","{bauer}",0.000433503638334107,0.982456140350877,0.000441244774732931,1458.77797943134,56
"28","{bauer,builder}","{farmer}",0.000178046137172937,0.621621621621622,0.000286422046756464,811.122031122031,23
"29","{builder,farmer}","{bauer}",0.000178046137172937,0.793103448275862,0.000224492955565877,1177.62187871581,23
"30","{bauer,german}","{farmer}",0.0002322340919647,0.810810810810811,0.000286422046756464,1057.98525798526,30
"31","{farmer,german}","{bauer}",0.0002322340919647,0.909090909090909,0.00025545750116117,1349.84326018809,30
"32","{bauer,farmer}","{mean}",0.000325127728750581,0.617647058823529,0.000526397275119988,36.5160856104456,42
"33","{bauer,mean}","{farmer}",0.000325127728750581,0.777777777777778,0.000418021365536461,1014.88215488215,42
"34","{farmer,mean}","{bauer}",0.000325127728750581,0.792452830188679,0.000410280229137637,1176.65582303188,42
"35","{bauer,builder}","{der}",0.000247716364762347,0.864864864864865,0.000286422046756464,1064.03088803089,32
"36","{builder,der}","{bauer}",0.000247716364762347,0.96969696969697,0.00025545750116117,1439.83281086729,32
"37","{bauer,german}","{der}",0.0002322340919647,0.810810810810811,0.000286422046756464,997.528957528958,30
"38","{der,german}","{bauer}",0.0002322340919647,0.909090909090909,0.00025545750116117,1349.84326018809,30
