"","LHS","RHS","support","confidence","coverage","lift","count"
"58","{microsoft,simulator}","{flight}",0.000201269546369407,1,0.000201269546369407,1123.30434782609,26
"73","{dead,moore}","{law}",0.000239975228363524,1,0.000239975228363524,448.541666666667,31
"112","{ray,rt}","{trace}",0.000170305000774114,1,0.000170305000774114,237.463235294118,22
"126","{jedi,star}","{war}",0.000178046137172937,1,0.000178046137172937,158.115055079559,23
"136","{disney,star}","{war}",0.000317386592351757,1,0.000317386592351757,158.115055079559,41
"151","{cost,leg}","{arm}",0.000178046137172937,1,0.000178046137172937,117.116953762466,23
"155","{dlss,trace}","{ray}",0.0002322340919647,1,0.0002322340919647,217.109243697479,30
"158","{rant,war}","{star}",0.000627032048304691,1,0.000627032048304691,150.034843205575,81
"170","{green,rgb}","{red}",0.0002322340919647,1,0.0002322340919647,261.497975708502,30
"216","{history,king}","{world}",0.000170305000774114,1,0.000170305000774114,122.213812677389,22
"222","{shadow,sponsor}","{legend}",0.00025545750116117,1,0.00025545750116117,339.947368421053,33
"224","{shadow,sponsor}","{raid}",0.00025545750116117,1,0.00025545750116117,296.965517241379,33
"230","{dream,true}","{come}",0.000201269546369407,1,0.000201269546369407,41.8735818476499,26
"433","{gon,lie}","{na}",0.000464468183929401,1,0.000464468183929401,79.4953846153846,60
"434","{lie,na}","{gon}",0.000464468183929401,1,0.000464468183929401,81.1942174732872,60
