"","LHS","RHS","support","confidence","coverage","lift","count"
"62","{vance}","{youtube}",0.000472209320328224,0.772151898734177,0.000611549775507044,69.7528547401965,61
"198","{qualcomm}","{apple}",0.000317386592351757,0.569444444444444,0.000557361820715281,25.278636884307,41
"218","{assistant}","{google}",0.000851525003870568,0.654761904761905,0.00130051091500232,42.7830768119084,110
"277","{ad,vance}","{youtube}",0.000178046137172937,0.851851851851852,0.00020901068276823,76.9526029526029,23
"321","{flight,simulator}","{microsoft}",0.000201269546369407,0.52,0.000387056819941167,74.1430463576159,26
"322","{microsoft,simulator}","{flight}",0.000201269546369407,1,0.000201269546369407,1123.30434782609,26
"323","{flight,microsoft}","{simulator}",0.000201269546369407,0.838709677419355,0.000239975228363524,1425.5857385399,26
"351","{cook,tim}","{apple}",0.000193528409970584,0.806451612903226,0.000239975228363524,35.7998004655803,25
"352","{apple,cook}","{tim}",0.000193528409970584,0.892857142857143,0.000216751819167054,915.391156462585,25
"371","{assistant,phone}","{google}",0.000193528409970584,0.806451612903226,0.000239975228363524,52.6946987126144,25
"372","{assistant,say}","{google}",0.00018578727357176,0.923076923076923,0.000201269546369407,60.315162834131,24
"414","{collect,google}","{datum}",0.000263198637559994,0.871794871794872,0.000301904319554111,154.90847529362,34
"424","{engine,google}","{search}",0.00018578727357176,0.96,0.000193528409970584,546.311894273128,24
"425","{apple,engine}","{search}",0.000170305000774114,0.88,0.000193528409970584,500.7859030837,22
"426","{apple,search}","{engine}",0.000170305000774114,0.628571428571429,0.000270939773958817,634.366071428571,22
"444","{repair,video}","{apple}",0.000170305000774114,0.5,0.000340610001548227,22.1958762886598,22
"524","{dark,facebook}","{mode}",0.000216751819167054,0.903225806451613,0.000239975228363524,386.353343302713,28
"525","{facebook,mode}","{dark}",0.000216751819167054,0.903225806451613,0.000239975228363524,478.191433104178,28
"536","{ad,premium}","{youtube}",0.000340610001548227,0.8,0.000425762501935284,72.2685314685315,44
"546","{apple,x86}","{arm}",0.00020901068276823,0.75,0.000278680910357641,87.8377153218495,27
"618","{arm,mac}","{apple}",0.000224492955565877,0.591836734693878,0.000379315683542344,26.2726698926993,29
"696","{view,youtube}","{like}",0.000441244774732931,0.655172413793103,0.000673478866697631,7.28295090042106,57
"715","{iphone,know}","{apple}",0.000170305000774114,0.55,0.000309645455952934,24.4154639175258,22
"792","{charge,start}","{facebook}",0.000201269546369407,0.52,0.000387056819941167,69.3226006191951,26
"793","{facebook,start}","{charge}",0.000201269546369407,0.590909090909091,0.000340610001548227,185.275816416593,26
"994","{ok,say}","{google}",0.000193528409970584,0.510204081632653,0.000379315683542344,33.3374624508377,25
"1089","{apple,processor}","{arm}",0.000201269546369407,0.590909090909091,0.000340610001548227,69.2054726778208,26
"1126","{facebook,sell}","{datum}",0.00018578727357176,0.558139534883721,0.000332868865149404,99.1753302837401,24
"1127","{apple,facebook}","{google}",0.00018578727357176,0.5,0.000371574547143521,32.6707132018209,24
"1154","{google,store}","{app}",0.000178046137172937,0.511111111111111,0.000348351137947051,83.1553316540722,23
"1181","{10,microsoft}","{window}",0.000178046137172937,0.560975609756098,0.000317386592351757,78.7682926829268,23
"1187","{apple,base}","{arm}",0.00018578727357176,0.5,0.000371574547143521,58.558476881233,24
"1240","{pay,youtube}","{ad}",0.000170305000774114,0.511627906976744,0.000332868865149404,34.3513997002369,22
"1241","{news,youtube}","{tech}",0.000263198637559994,0.548387096774194,0.000479950456727048,15.5933623511535,34
"1540","{apple,gon}","{na}",0.000418021365536461,0.981818181818182,0.000425762501935284,78.050013986014,54
"1541","{apple,na}","{gon}",0.000418021365536461,1,0.000418021365536461,81.1942174732872,54
"1673","{apple,feel}","{like}",0.000193528409970584,0.694444444444444,0.000278680910357641,7.71950205088489,25
"1767","{amd,apple}","{intel}",0.000503173865923518,0.511811023622047,0.000983124322650565,14.3792405462149,65
"1872","{comment,view,youtube}","{like}",0.000170305000774114,0.564102564102564,0.000301904319554111,6.27061089671881,22
"1873","{comment,like,youtube}","{view}",0.000170305000774114,0.647058823529412,0.000263198637559994,109.264129181084,22
"1966","{apple,arm,buy}","{nvidia}",0.000224492955565877,0.630434782608696,0.000356092274345874,19.9216157576789,29
"1967","{apple,buy,nvidia}","{arm}",0.000224492955565877,0.805555555555556,0.00027868091035764,94.3442127530976,29
"2191","{apple,intel,nvidia}","{amd}",0.000178046137172937,0.71875,0.000247716364762347,18.3204666535122,23
"2192","{amd,apple,nvidia}","{intel}",0.000178046137172937,0.621621621621622,0.000286422046756464,17.4643499523882,23
