"","LHS","RHS","support","confidence","coverage","lift","count"
"23","{puberty}","{linus}",0.000239975228363524,0.704545454545455,0.000340610001548227,10.9430301572901,31
"55","{murdock}","{riley}",0.000286422046756464,0.627118644067797,0.000456727047530578,11.5105408412444,37
"61","{sandal}","{linus}",0.00018578727357176,0.648648648648649,0.000286422046756464,10.0748385754999,24
"64","{sebastian}","{linus}",0.000247716364762347,0.761904761904762,0.000325127728750581,11.8339373743967,32
"123","{retire}","{linus}",0.000286422046756464,0.544117647058823,0.000526397275119988,8.45125858447262,37
"133","{pulse}","{linus}",0.000387056819941167,0.714285714285714,0.000541879547917634,11.0943162884969,50
"181","{combo}","{riley}",0.000371574547143521,0.516129032258065,0.000719925685090571,9.47336578390122,48
"221","{pulseway}","{linus}",0.00191980182690819,0.823920265780731,0.00233008205604583,12.7971648351034,248
"245","{beard}","{linus}",0.00220622387366465,0.534709193245779,0.00412602570057284,8.30512607712994,285
"252","{tip}","{linus}",0.00226815296485524,0.523214285714286,0.00433503638334107,8.12658668132397,293
"281","{geep,linus}","{scrapyard}",0.000178046137172937,0.92,0.000193528409970584,1886.4380952381,23
"282","{linus,scrapyard}","{geep}",0.000178046137172937,0.793103448275862,0.000224492955565877,1679.55907292256,23
"286","{linus,scrapyard}","{war}",0.000193528409970584,0.862068965517241,0.000224492955565877,136.306081965137,25
"314","{ad,pulse}","{linus}",0.000286422046756464,0.840909090909091,0.000340610001548227,13.061035994185,37
"315","{linus,pulse}","{ad}",0.000286422046756464,0.74,0.000387056819941167,49.6846153846154,37
"316","{pulse,way}","{linus}",0.000301904319554111,0.735849056603774,0.000410280229137637,11.429239044376,39
"317","{linus,pulse}","{way}",0.000301904319554111,0.78,0.000387056819941167,41.3800410677618,39
"318","{get,pulse}","{linus}",0.000170305000774114,0.88,0.000193528409970584,13.6681976674282,22
"359","{cat,filter}","{linus}",0.000201269546369407,0.590909090909091,0.000340610001548227,9.17802529321106,26
"360","{filter,linus}","{cat}",0.000201269546369407,0.866666666666667,0.0002322340919647,458.83606557377,26
"361","{linus,oof}","{big}",0.000170305000774114,0.846153846153846,0.000201269546369407,66.9768099547511,22
"367","{beard,shave}","{linus}",0.000301904319554111,0.629032258064516,0.000479950456727047,9.77015595728919,39
"382","{ad,pulseway}","{linus}",0.00150952159777055,0.84051724137931,0.00179594364452702,13.0549497705157,195
"383","{linus,pulseway}","{ad}",0.00150952159777055,0.786290322580645,0.00191980182690819,52.7926111595466,195
"385","{pulseway,see}","{linus}",0.000278680910357641,0.878048780487805,0.000317386592351757,13.6378912424449,36
"386","{pulseway,watch}","{linus}",0.0002322340919647,0.909090909090909,0.00025545750116117,14.1200389126324,30
"387","{lol,pulseway}","{linus}",0.000178046137172937,0.821428571428571,0.000216751819167054,12.7584637317714,23
"388","{pulseway,video}","{linus}",0.000696702275894101,0.882352941176471,0.000789595912679982,13.7047436504961,90
"389","{get,pulseway}","{linus}",0.000890230685864685,0.877862595419847,0.00101408886824586,13.634999408,115
"460","{linus,reboot}","{rog}",0.000216751819167054,0.736842105263158,0.000294163183155287,294.691217207104,28
"461","{linus,rog}","{reboot}",0.000216751819167054,0.622222222222222,0.000348351137947051,282.030409356725,28
"474","{linus,reboot}","{rig}",0.000178046137172937,0.605263157894737,0.000294163183155287,211.891313649979,23
"475","{linus,rig}","{reboot}",0.000178046137172937,0.657142857142857,0.000270939773958817,297.858646616541,23
"500","{deep,fake}","{linus}",0.00018578727357176,0.571428571428571,0.000325127728750581,8.87545303079751,24
"501","{fake,linus}","{deep}",0.00018578727357176,0.5,0.000371574547143521,268.008298755187,24
"502","{deep,voice}","{linus}",0.000325127728750581,0.777777777777778,0.000418021365536461,12.0804777363633,42
"503","{deep,linus}","{voice}",0.000325127728750581,0.552631578947368,0.000588326366310574,90.5951108736308,42
"526","{grow,linus}","{beard}",0.000263198637559994,0.515151515151515,0.000510915002322341,124.854170220024,34
"527","{beard,hair}","{linus}",0.000178046137172937,0.547619047619048,0.000325127728750581,8.50564248784761,23
"528","{beard,look}","{linus}",0.000657996593899985,0.615942028985507,0.00106827682303762,9.56683795892122,85
"530","{beard,like}","{linus}",0.000325127728750581,0.583333333333333,0.000557361820715281,9.06035830227245,42
"595","{act,linus}","{like}",0.00018578727357176,0.685714285714286,0.000270939773958817,7.6224568822452,24
"601","{group,medium}","{linus}",0.000766372503483511,0.779527559055118,0.000983124322650565,12.1076554140604,99
"602","{group,linus}","{medium}",0.000766372503483511,0.779527559055118,0.000983124322650565,215.630342781028,99
"603","{linus,medium}","{group}",0.000766372503483511,0.738805970149254,0.00103731227744233,336.052659239016,99
"656","{channel,tip}","{linus}",0.000356092274345874,0.754098360655738,0.000472209320328224,11.7126880160524,46
"659","{guy,tip}","{linus}",0.000239975228363524,0.720930232558139,0.000332868865149404,11.1975192307155,31
"662","{tech,tip}","{linus}",0.00160241523455643,0.532133676092545,0.00301130205914228,8.26512303446374,207
"663","{linus,tip}","{tech}",0.00160241523455643,0.706484641638225,0.00226815296485524,20.0888589053106,207
"665","{look,tip}","{linus}",0.000201269546369407,0.684210526315789,0.000294163183155287,10.6271871816128,26
"667","{tip,video}","{linus}",0.00020901068276823,0.72972972972973,0.000286422046756464,11.3341933974374,27
"668","{like,tip}","{linus}",0.000394797956339991,0.739130434782609,0.000534138411518811,11.4802055507055,51
"753","{get,voice}","{linus}",0.000224492955565877,0.557692307692308,0.000402539092738814,8.66210079448026,29
"769","{quick,riley}","{bit}",0.000247716364762347,0.711111111111111,0.000348351137947051,58.2137727080693,32
"772","{linus,quick}","{bit}",0.000557361820715281,0.791208791208791,0.000704443412292925,64.7708185350771,72
"980","{linus,star}","{war}",0.000913454095061155,0.756410256410256,0.00120761727821644,119.599849355051,118
"981","{linus,war}","{star}",0.000913454095061155,0.7375,0.00123858182381174,110.650696864111,118
"993","{ad,star}","{linus}",0.000170305000774114,0.916666666666667,0.00018578727357176,14.237705903571,22
"1016","{link,riley}","{tech}",0.000541879547917634,0.875,0.000619290911905868,24.8805855161787,70
"1019","{link,linus}","{tech}",0.000448985911131754,0.783783783783784,0.000572844093512928,22.2868565241447,58
"1082","{different,riley}","{look}",0.000278680910357641,0.590163934426229,0.000472209320328224,18.2429712967649,36
"1083","{different,linus}","{look}",0.000356092274345874,0.560975609756098,0.000634773184703514,17.3407105212474,46
"1121","{james,linus}","{riley}",0.000487691593125871,0.508064516129032,0.000959900913454095,9.32534444352776,63
"1280","{ad,way}","{linus}",0.000263198637559994,0.523076923076923,0.000503173865923518,8.12445315896079,34
"1283","{ad,get}","{linus}",0.00157919182535996,0.504950495049505,0.00312741910512463,7.8429127029572,204
"1385","{riley,sound}","{like}",0.000642514321102338,0.761467889908257,0.000843783867471745,8.46454023047488,83
"1397","{linus,sound}","{like}",0.000828301594674098,0.703947368421053,0.00117665273262115,7.82513734210753,107
"1404","{gaming,linus}","{channel}",0.000356092274345874,0.505494505494505,0.000704443412292925,35.8003181029497,46
"1562","{gon,riley}","{na}",0.000572844093512928,1,0.000572844093512928,79.4953846153846,74
"1563","{na,riley}","{gon}",0.000572844093512928,0.973684210526316,0.000588326366310574,79.0575275397797,74
"1598","{gon,linus}","{na}",0.000704443412292925,1,0.000704443412292925,79.4953846153846,91
"1599","{linus,na}","{gon}",0.000704443412292925,0.978494623655914,0.000719925685090571,79.4481052695606,91
"1773","{news,riley}","{tech}",0.00179594364452702,0.734177215189873,0.00244619910202818,20.8762959846418,232
"1774","{riley,tech}","{news}",0.00179594364452702,0.628726287262873,0.00285647933116582,19.7564733127263,232
"1778","{linus,news}","{tech}",0.000843783867471745,0.561855670103093,0.00150178046137173,15.9763406259999,109
"1809","{ad,pulse,way}","{linus}",0.000247716364762347,0.82051282051282,0.000301904319554111,12.7442402493503,32
"1810","{ad,linus,pulse}","{way}",0.000247716364762347,0.864864864864865,0.000286422046756464,45.8822354181697,32
"1811","{linus,pulse,way}","{ad}",0.000247716364762347,0.82051282051282,0.000301904319554111,55.0903566288182,32
"1812","{ad,linus,way}","{pulse}",0.000247716364762347,0.941176470588235,0.000263198637559994,1736.87394957983,32
"1813","{ad,pulseway,see}","{linus}",0.000201269546369407,0.866666666666667,0.0002322340919647,13.4611037633762,26
"1814","{linus,pulseway,see}","{ad}",0.000201269546369407,0.722222222222222,0.000278680910357641,48.490990990991,26
"1815","{ad,pulseway,watch}","{linus}",0.00020901068276823,0.931034482758621,0.000224492955565877,14.4608674381097,27
"1816","{linus,pulseway,watch}","{ad}",0.00020901068276823,0.9,0.0002322340919647,60.4272349272349,27
"1817","{ad,linus,watch}","{pulseway}",0.00020901068276823,0.529411764705882,0.000394797956339991,227.207348055501,27
"1818","{ad,pulseway,video}","{linus}",0.000580585229911751,0.892857142857143,0.000650255457501161,13.8678953606211,75
"1819","{linus,pulseway,video}","{ad}",0.000580585229911751,0.833333333333333,0.000696702275894101,55.9511434511435,75
"1822","{ad,get,pulseway}","{linus}",0.000750890230685865,0.873873873873874,0.000859266140269392,13.5730464142151,97
"1823","{get,linus,pulseway}","{ad}",0.000750890230685865,0.843478260869565,0.000890230685864685,56.6322878062008,97
"1824","{get,pulseway,video}","{linus}",0.000340610001548227,0.916666666666667,0.000371574547143521,14.237705903571,44
"1840","{beard,like,look}","{linus}",0.000193528409970584,0.641025641025641,0.000301904319554111,9.9564376948049,25
"1841","{beard,like,linus}","{look}",0.000193528409970584,0.595238095238095,0.000325127728750581,18.399822240454,25
"1856","{channel,tech,tip}","{linus}",0.000301904319554111,0.764705882352941,0.000394797956339991,11.8774444970967,39
