"","items","support","transIdenticalToItemsets","count"
"1","{elon,tusk}",0.000178046137172937,23,23
"2","{central,pahk}",0.000178046137172937,23,23
"3","{ball,deodorant}",0.000216751819167054,28,28
"4","{bytedance,own}",0.00020901068276823,27,27
"5","{bytedance,tiktok}",0.00018578727357176,24,24
"6","{bytedance,tencent}",0.000201269546369407,26,26
"7","{saiyan,super}",0.000178046137172937,23,23
"8","{curb,feeler}",0.00018578727357176,24,24
"9","{canadian,thanksgiving}",0.000170305000774114,22,22
"10","{fnaf,music}",0.000224492955565877,29,29
"11","{homo,love}",0.000170305000774114,22,22
"12","{carpool,critic}",0.000224492955565877,29,29
"13","{anthony,toenail}",0.00018578727357176,24,24
"14","{sign,toenail}",0.00020901068276823,27,27
"15","{gabe,newell}",0.000193528409970584,25,25
"16","{johnson,rian}",0.000170305000774114,22,22
"17","{battleground,pubg}",0.000193528409970584,25,25
"18","{earther,flat}",0.000224492955565877,29,29
"19","{origin,ublock}",0.000193528409970584,25,25
"20","{linus,puberty}",0.000239975228363524,31,31
"21","{hit,puberty}",0.000170305000774114,22,22
"22","{protector,screen}",0.000178046137172937,23,23
"23","{14th,april}",0.000270939773958817,35,35
"24","{diem,mean}",0.00020901068276823,27,27
"25","{diem,shut}",0.000201269546369407,26,26
"26","{foil,tin}",0.000170305000774114,22,22
"27","{bat,quack}",0.000224492955565877,29,29
"28","{shirt,stain}",0.00020901068276823,27,27
"29","{maple,syrup}",0.00025545750116117,33,33
"30","{arena,mech}",0.000216751819167054,28,28
"31","{red,rose}",0.0002322340919647,30,30
"32","{star,trek}",0.000201269546369407,26,26
"33","{flander,ned}",0.000356092274345874,46,46
"34","{face,pikachu}",0.000170305000774114,22,22
"35","{com,lttrash}",0.000348351137947051,45,45
"36","{deepfake,linus}",0.000239975228363524,31,31
"37","{mi,mix}",0.00018578727357176,24,24
"38","{new,zealand}",0.000247716364762347,32,32
"39","{com,redirect}",0.000170305000774114,22,22
"40","{der8auer,mean}",0.000178046137172937,23,23
"41","{der,der8auer}",0.00018578727357176,24,24
"42","{der8auer,farmer}",0.0002322340919647,30,30
"43","{bauer,der8auer}",0.000193528409970584,25,25
"44","{quickie,tech}",0.000247716364762347,32,32
"45","{cheesy,potato}",0.00018578727357176,24,24
"46","{chief,master}",0.000170305000774114,22,22
"47","{estate,real}",0.00018578727357176,24,24
