"","items","support","transIdenticalToItemsets","count"
"25064","{news,tech}",0.0171466171233937,2215,2215
"25482","{amd,intel}",0.0128038396036538,1654,1654
"25399","{like,look}",0.0127883573308562,1652,1652
"21659","{gon,na}",0.012269701192135,1585,1585
"25445","{amd,nvidia}",0.00752438457965629,972,972
"25585","{like,linus}",0.00748567889766218,967,967
"25564","{like,video}",0.00668060071218455,863,863
"20208","{like,sound}",0.00652577798420808,843,843
"25629","{good,like}",0.00629354389224338,813,813
"25573","{linus,video}",0.00596067502709398,770,770
"25253","{like,riley}",0.00577488775352222,746,746
"25373","{card,nvidia}",0.00576714661712339,745,745
"19720","{card,graphic}",0.0057361820715281,741,741
"24743","{video,watch}",0.0056355472983434,728,728
"25627","{like,people}",0.00553491252515869,715,715
