Date,chia-price,market-cap,netspace
2021-03-19,0.0,0.0,1.3083284425647122e+17
2021-03-20,0.0,0.0,1.3910327962096253e+17
2021-03-21,0.0,0.0,1.396556743529701e+17
2021-03-22,0.0,0.0,1.4546941794852237e+17
2021-03-23,0.0,0.0,1.5612573094547075e+17
2021-03-24,0.0,0.0,1.558425922600794e+17
2021-03-25,0.0,0.0,1.6504071244942307e+17
2021-03-26,0.0,0.0,1.716108274404697e+17
2021-03-27,0.0,0.0,1.7064145615151197e+17
2021-03-28,0.0,0.0,1.8199481270448915e+17
2021-03-29,0.0,0.0,1.8572309448296285e+17
2021-03-30,0.0,0.0,1.9661712291846976e+17
2021-03-31,0.0,0.0,2.0145886777913107e+17
2021-04-01,0.0,0.0,2.0643157722582144e+17
2021-04-02,0.0,0.0,2.076540698019453e+17
2021-04-03,0.0,0.0,2.2004635311422483e+17
2021-04-04,0.0,0.0,2.291354135329392e+17
2021-04-05,0.0,0.0,2.273518241905617e+17
2021-04-06,0.0,0.0,2.279617964133237e+17
2021-04-07,0.0,0.0,2.665057770077808e+17
2021-04-08,0.0,0.0,2.6059921020994662e+17
2021-04-09,0.0,0.0,2.8085064224628157e+17
2021-04-10,0.0,0.0,2.9124002950860883e+17
2021-04-11,0.0,0.0,3.010424120866562e+17
2021-04-12,0.0,0.0,3.178079419211634e+17
2021-04-13,0.0,0.0,3.337637969364872e+17
2021-04-14,0.0,0.0,3.3608034823572294e+17
2021-04-15,0.0,0.0,3.555995754733909e+17
2021-04-16,0.0,0.0,3.755257003729583e+17
2021-04-17,0.0,0.0,3.9401374154889786e+17
2021-04-18,0.0,0.0,4.1742171039903046e+17
2021-04-19,0.0,0.0,4.398304295341449e+17
2021-04-20,0.0,0.0,4.750174543479529e+17
2021-04-21,0.0,0.0,5.453551641278468e+17
2021-04-22,0.0,0.0,5.7469990234285306e+17
2021-04-23,0.0,0.0,6.555606451396914e+17
2021-04-24,0.0,0.0,7.24633144527956e+17
2021-04-25,0.0,0.0,8.222000213805073e+17
2021-04-26,0.0,0.0,9.645718649686156e+17
2021-04-27,0.0,0.0,1.0015361477292548e+18
2021-04-28,0.0,0.0,1.1609737542247818e+18
2021-04-29,0.0,0.0,1.315826946980958e+18
2021-04-30,0.0,0.0,1.4931978994418437e+18
2021-05-01,0.0,0.0,1.6996298219847954e+18
2021-05-02,0.0,0.0,1.9234852073990067e+18
2021-05-03,0.0,0.0,1.9793681627182495e+18
2021-05-04,670.4414804701877,0.0,2.3812034409096064e+18
2021-05-05,670.4414804701877,0.0,2.705268426119654e+18
2021-05-06,652.8008801503148,0.0,3.008654192397435e+18
2021-05-07,586.8800724155939,0.0,3.1426970947918444e+18
2021-05-08,942.3163623023274,0.0,3.5289977507920435e+18
2021-05-09,1331.1772662167066,0.0,3.179123992191622e+18
2021-05-10,1087.9127022770997,0.0,3.5724408359655004e+18
2021-05-11,1124.2193434544934,0.0,4.147692565906752e+18
2021-05-12,970.3578321601397,0.0,4.637039581470301e+18
2021-05-13,1002.3075562267354,0.0,5.048826593261075e+18
2021-05-14,1056.5735022249326,0.0,5.498146234649602e+18
2021-05-15,1551.2483109215332,0.0,5.993882195062179e+18
2021-05-16,1541.3675399633898,0.0,6.599621163545671e+18
2021-05-17,1441.2063425246786,0.0,7.128280510116279e+18
2021-05-18,1305.0773881347477,0.0,7.512960276993568e+18
2021-05-19,1297.941396580449,0.0,8.039964291570186e+18
2021-05-20,919.434870403072,0.0,8.406825481688156e+18
2021-05-21,1002.408558419436,0.0,9.263800970374953e+18
2021-05-22,862.4836005609417,541530866.2294549,1.0143219745896012e+19
2021-05-23,836.5741174570858,538886073.8717997,1.1289959419501513e+19
2021-05-24,735.0866205858243,471491687.5268081,1.1700700319332934e+19
2021-05-25,879.3876556635705,583561357.3372014,1.2588737980079847e+19
2021-05-26,823.1552283467221,557844137.078681,1.3874652324797506e+19
2021-05-27,844.1357080239923,576132234.900567,1.3883049142503395e+19
2021-05-28,808.842118352241,559221216.2354747,1.503699581799666e+19
2021-05-29,769.6617335883274,539922314.634905,1.5707111742431623e+19
2021-05-30,796.6568199860106,571214531.2608438,1.6293901649015337e+19
2021-05-31,783.9487680778883,565729734.6606271,1.7625195641387985e+19
2021-06-01,772.7819949342869,566144828.1877288,1.7571596080822612e+19
2021-06-02,697.4419012921652,516863508.3662106,1.876170909468152e+19
2021-06-03,695.1171746349391,521494832.67780095,1.9135172781713715e+19
2021-06-04,739.3695177914188,561970228.1811711,2.0222829003066348e+19
2021-06-05,694.2747153020987,534629005.4426235,2.0731870813685203e+19
2021-06-06,680.5926822451546,529265277.9226416,2.1782304848104944e+19
2021-06-07,657.0555063718201,519094925.6316415,2.193984929568827e+19
2021-06-08,582.6089571163502,469589650.2892259,2.312653785862112e+19
2021-06-09,554.167069794371,451464033.1235348,2.282140076787164e+19
2021-06-10,556.0232865691943,455860468.6142804,2.439417946474372e+19
2021-06-11,517.7727145952787,428144556.1248138,2.444212200524959e+19
2021-06-12,434.5130058981864,365083083.58245695,2.570666269613829e+19
2021-06-13,416.1846804309482,352817417.4695513,2.608438809202845e+19
2021-06-14,416.28968602085314,354223394.8014553,2.666900603334814e+19
2021-06-15,434.67800909708086,375255938.5129977,2.7812271559054078e+19
2021-06-16,421.9817692772627,368107362.1775957,2.75396133347749e+19
2021-06-17,412.30094220712857,360857854.84584665,2.767231217350853e+19
2021-06-18,418.1792451330903,372027800.08978456,2.832499914311376e+19
2021-06-19,396.13968216061886,357560609.5746411,2.8976270492178825e+19
2021-06-20,389.3910779625274,355142493.428481,3.133480605556287e+19
2021-06-21,348.8013695032412,321514631.75381,3.0040078237513937e+19
2021-06-22,241.267044502138,228707110.76313508,3.053682964695132e+19
2021-06-23,227.50040961454044,213262592.8443153,3.0242947908429177e+19
2021-06-24,320.95084944767353,307076633.25567365,3.124126479077173e+19
2021-06-25,316.04058793363106,303305695.657084,3.0943049098077446e+19
2021-06-26,290.1429948492595,281397911.03467345,3.23644862628598e+19
2021-06-27,276.21211703278703,270330400.6296778,3.210666355763093e+19
2021-06-28,277.3874909459949,274852876.32751125,3.326342018410532e+19
2021-06-29,275.1933657925365,274376262.1101962,3.2819402789839167e+19
2021-06-30,308.55404192847305,309686372.39897776,3.3449197980979773e+19
2021-07-01,293.7224382765832,298967746.9361229,3.303555975625961e+19
2021-07-02,283.89363579058954,290583393.4555955,3.3863640713924485e+19
2021-07-03,282.6186830529216,292140187.7234922,3.464648052907491e+19
2021-07-04,298.6824606209429,311427384.3790841,3.449659153214806e+19
2021-07-05,295.6119641792395,311910736.3023442,3.471160281239735e+19
2021-07-06,287.9643992207143,305276647.4805777,3.500320543891328e+19
2021-07-07,282.6273982728265,303067516.23685855,3.539488124883481e+19
2021-07-08,280.33713641047484,302982683.4146585,3.511805820565529e+19
2021-07-09,281.7466678368028,307181677.96794224,3.6218097977234633e+19
2021-07-10,274.86595417156497,301565211.8299982,3.492069382102201e+19
2021-07-11,264.3957898897902,293226351.37983024,3.6805893266033377e+19
2021-07-12,258.9515089093512,289514651.6677396,3.605502614695404e+19
2021-07-13,240.1326320252225,270757826.7836452,3.616933541435056e+19
2021-07-14,229.98279427093289,261793519.64674056,3.3927910604638536e+19
2021-07-15,232.96244199166955,267121728.58394164,3.395928025259972e+19
2021-07-16,217.331770406344,250886878.47265613,3.3704476058999726e+19
2021-07-17,209.11859176701967,243407187.4030128,3.5218272658135708e+19
