date,btc,eth,doge,ltc,bch,etc,dash
2017-08-01,473639.0,124859,22731,43994.0,308149.0,14600,26354
2017-08-02,599118.0,126128,26889,45825.0,16751.0,15146,24476
2017-08-03,592805.0,132391,25112,48422.0,80506.0,20473,20101
2017-08-04,668144.0,135064,25676,54588.0,88105.0,16241,28508
2017-08-05,642015.0,134502,30286,54241.0,44381.0,20981,28363
2017-08-06,547079.0,135792,33055,55807.0,33613.0,17055,31459
2017-08-07,692078.0,152806,44029,57613.0,58611.0,17134,25980
2017-08-08,786340.0,169229,30786,62513.0,34565.0,16307,39043
2017-08-09,711839.0,160410,25166,49768.0,30593.0,15306,20720
2017-08-10,730801.0,169210,28508,60726.0,31527.0,16704,28877
2017-08-11,729508.0,170497,29304,60889.0,31381.0,15179,30310
2017-08-12,695821.0,167082,33958,61710.0,23548.0,16071,42592
2017-08-13,717839.0,166131,33304,56802.0,23046.0,14917,41377
2017-08-14,681161.0,209225,31602,60094.0,32262.0,15242,42470
2017-08-15,817719.0,213108,30130,56770.0,25233.0,14598,37909
2017-08-16,688962.0,188623,28989,54133.0,186687.0,14332,32782
2017-08-17,863099.0,196255,31278,55676.0,38367.0,16153,45736
2017-08-18,727394.0,206639,30237,63340.0,61736.0,15394,46432
2017-08-19,708914.0,192634,32538,62271.0,68401.0,14531,45493
2017-08-20,627940.0,171234,37321,53652.0,51823.0,13300,38304
2017-08-21,632318.0,192142,30558,49983.0,44956.0,14905,29219
2017-08-22,530992.0,180890,30127,56489.0,42557.0,13913,42715
2017-08-23,839588.0,200456,32676,68211.0,33653.0,15993,27708
2017-08-24,542527.0,168031,30180,64593.0,52614.0,15295,30559
2017-08-25,587663.0,175112,35312,59633.0,29747.0,14699,31117
2017-08-26,617917.0,144211,33663,53185.0,37503.0,13224,44063
2017-08-27,753881.0,151002,34080,69283.0,25421.0,16378,36646
2017-08-28,661017.0,176815,35887,74539.0,27003.0,15947,41874
2017-08-29,789243.0,188218,35309,75887.0,38467.0,16446,39215
2017-08-30,805068.0,199429,36134,69663.0,98978.0,16596,46991
2017-08-31,797023.0,201738,35922,79665.0,66622.0,15334,43338
2017-09-01,767441.0,194535,34001,105603.0,31477.0,20045,46963
2017-09-02,709832.0,170203,41569,82532.0,21234.0,19738,51068
2017-09-03,587110.0,155252,37385,65359.0,25532.0,18041,37276
2017-09-04,760792.0,217222,61824,94956.0,21699.0,18602,40477
2017-09-05,780357.0,209290,34364,80661.0,22945.0,18279,36289
2017-09-06,777010.0,219517,35623,74253.0,25282.0,20561,40133
2017-09-07,767722.0,203211,34646,78133.0,22751.0,17503,31040
2017-09-08,809056.0,212715,37596,76714.0,19775.0,17737,32592
2017-09-09,625612.0,187363,35389,65079.0,18543.0,18576,44845
2017-09-10,581564.0,168148,43261,67509.0,13434.0,17903,35193
2017-09-11,724503.0,192744,42413,65986.0,18272.0,17896,41430
2017-09-12,700869.0,206092,36903,70697.0,14881.0,16951,41217
2017-09-13,715683.0,184759,35820,72541.0,16036.0,16547,35991
2017-09-14,786448.0,201842,42763,87355.0,18493.0,17282,28651
2017-09-15,831698.0,211723,47340,100975.0,79976.0,19947,34466
2017-09-16,637532.0,172971,47979,74230.0,17485.0,19165,65491
2017-09-17,582453.0,151929,42945,63903.0,13752.0,16698,51045
2017-09-18,694432.0,191107,46873,81612.0,20849.0,17958,43715
2017-09-19,784159.0,174538,46452,72202.0,25396.0,16022,47871
2017-09-20,619406.0,182509,52963,58720.0,21885.0,15153,27676
2017-09-21,684987.0,174750,44450,71390.0,15926.0,15944,38787
2017-09-22,642171.0,131621,44371,66489.0,15282.0,14587,36608
2017-09-23,571954.0,131179,44459,59891.0,15021.0,14187,27198
2017-09-24,549507.0,132444,52504,52431.0,15505.0,13876,31720
2017-09-25,655510.0,147862,53021,65109.0,37261.0,14880,34226
2017-09-26,722077.0,159185,48371,62387.0,16225.0,14962,36452
2017-09-27,702387.0,161803,42563,65122.0,20871.0,15315,32297
2017-09-28,753933.0,166745,48597,65384.0,22910.0,18953,39837
2017-09-29,741184.0,166723,46109,60933.0,13305.0,15935,45671
2017-09-30,631821.0,150248,48924,58567.0,20697.0,15880,36723
2017-10-01,628817.0,133565,48627,56021.0,20194.0,14013,27854
2017-10-02,800519.0,153749,43722,61494.0,21533.0,14756,35704
2017-10-03,787242.0,156587,42828,58745.0,16495.0,14134,27755
2017-10-04,655363.0,144259,46836,58375.0,22186.0,13543,31442
2017-10-05,725883.0,139560,44929,61264.0,22544.0,15162,32890
2017-10-06,818384.0,141273,44319,62458.0,20862.0,14394,29025
2017-10-07,651679.0,134989,47121,58609.0,12695.0,14166,29070
2017-10-08,699283.0,141322,50968,61486.0,19572.0,14330,32317
2017-10-09,797851.0,153436,45689,69754.0,20624.0,14715,34792
2017-10-10,833834.0,159757,47266,66510.0,21724.0,15055,34178
2017-10-11,778349.0,164924,50729,61606.0,30665.0,14792,35512
2017-10-12,784446.0,163736,50979,76442.0,35286.0,16454,29429
2017-10-13,818187.0,176192,51581,82057.0,86243.0,16141,41220
2017-10-14,789672.0,153996,53876,72749.0,180645.0,19175,38186
2017-10-15,825816.0,154242,60860,71135.0,25789.0,14865,34228
2017-10-16,844162.0,166773,55041,74970.0,27131.0,16055,37727
2017-10-17,878509.0,207471,55921,74793.0,38988.0,17721,41693
2017-10-18,824566.0,179137,53898,77955.0,19230.0,15453,41201
2017-10-19,906491.0,183418,46003,71620.0,19438.0,15388,40872
2017-10-20,850614.0,198225,41095,70225.0,32003.0,15026,30577
2017-10-21,800937.0,173297,44059,75132.0,28745.0,14744,29640
2017-10-22,907439.0,207996,43949,66762.0,17474.0,14638,36648
2017-10-23,880240.0,197761,40954,84333.0,25738.0,15499,46544
2017-10-24,955565.0,214936,55868,86245.0,24751.0,15371,39040
2017-10-25,911228.0,192161,35642,71423.0,27935.0,14108,30586
2017-10-26,742163.0,197162,35924,71050.0,24022.0,15112,34374
2017-10-27,668740.0,178047,41026,72842.0,26639.0,14679,38531
2017-10-28,555227.0,154861,42673,65935.0,25490.0,13784,27094
2017-10-29,905041.0,161233,54945,70251.0,38087.0,14434,32196
2017-10-30,894901.0,178292,48491,70507.0,27925.0,14840,35340
2017-10-31,827896.0,214027,51400,70033.0,26004.0,15591,38785
2017-11-01,961473.0,232914,39265,74849.0,31349.0,17485,37817
2017-11-02,916882.0,250046,40523,71728.0,40045.0,15235,34772
2017-11-03,820113.0,211882,36527,74695.0,45452.0,15643,32544
2017-11-04,800708.0,174924,34541,54447.0,35466.0,19449,25419
