date,btc,eth,doge,ltc,bch,etc,dash
2017-08-01,17893595431.582363,13422762143.801376,115916531.72925694,1260910110.237671,209330470.6115272,948676598.2444749,555857588.8185594
2017-08-02,18051267837.92787,13424395986.333836,115833177.40311688,1262144624.9869988,228493313.76962984,946149293.2954426,556840252.3871528
2017-08-03,18277681996.310577,13408309224.177416,116022781.47149232,1271774370.5942388,308030797.65445274,956792713.5559812,563355795.9472413
2017-08-04,18663922574.492428,13408459960.12103,116303184.51209173,1275186891.6388936,366999525.45962864,952827844.3538471,565033548.0669568
2017-08-05,19027512047.017494,13573059162.131985,116587363.82736997,1280142882.4671304,388426224.30440295,963095990.1520691,569361703.5875397
2017-08-06,19417149119.13708,13716681781.25042,116631275.30998656,1282527877.9440908,409883171.24016976,966833813.0154742,570461214.8458973
2017-08-07,19861913474.75603,13997628441.187168,116884253.24966204,1297229452.5145624,489904738.13989514,966501207.7251086,574132369.6403463
2017-08-08,20204349195.167915,14175270735.937923,117027902.59027871,1321802290.3381867,540698063.0164683,978760351.8065639,578728198.3176916
2017-08-09,20429974754.51615,14591361037.992144,117092609.13332205,1324964431.8353677,563301136.7886105,960553853.157728,580264530.152083
2017-08-10,20628726076.749165,14837444114.3837,117118005.3162684,1345704363.4267821,580461624.2663865,965362363.8125064,582499038.3380629
2017-08-11,20857434229.92028,15075741201.888187,117533453.73652148,1358022047.329122,613319255.6630387,964153258.0339448,585252134.4189128
2017-08-12,21151523706.003277,15131391150.405657,117463939.13345397,1359841046.894004,628380186.5356236,958799383.8259348,588079968.4375405
2017-08-13,21438661385.47676,15115002530.445896,117432860.0870014,1361311188.7888908,640124117.7390586,955252551.2952776,590095087.2189355
2017-08-14,21826730305.98322,15158328954.434092,117357573.1560436,1364443312.5920894,664843970.902109,951266274.4658042,592944408.0598316
2017-08-15,22044669984.692493,15173536307.514437,117179046.599481,1363079408.4754703,692389787.4599644,945858528.9170953,594898071.0931592
2017-08-16,22314820290.50256,15356232940.727386,117169220.10302275,1365935951.610201,709272960.40783,949137180.3395423,602693014.0079765
2017-08-17,22632499094.353043,15446508424.721424,117072595.05012327,1366814941.1140409,776669820.715413,947230034.2544521,614543739.490992
2017-08-18,22803579745.693035,15447948059.10386,116970199.54878284,1375984713.4515789,959378472.2726867,941244179.1346152,625477917.7567248
2017-08-19,23077702318.308823,15479066317.839441,116849647.36844037,1376768167.4966447,1090634376.7869713,943296576.3755536,643381723.1181947
2017-08-20,23358262881.188713,15561482387.020777,116827405.45379277,1378896838.7350607,1179599990.990716,947103715.6386585,658653683.8026307
2017-08-21,23483076266.07932,15787078660.038624,116796826.08057372,1384525166.3495016,1216331079.5852757,965699259.4232072,661718794.7158642
2017-08-22,23683887857.541557,15838777426.144598,116764987.4113094,1389988592.2175992,1305246914.4210887,960636079.397475,665588664.1219872
2017-08-23,23916725187.325657,15931609710.254652,116505068.71801051,1403870598.7544315,1351475773.7852414,973320268.9748275,669550308.4116943
2017-08-24,24084804573.336407,16118268592.22372,116578740.2229716,1414125551.443546,1389887730.6345775,972108297.3879288,681714689.5306967
