date,btc,eth,doge,ltc,bch,etc,xmr,dash
2017-08-01,860221984436.22,1606730004126810.0,167782.88176440002,437853.171577125,860221984436.22,103597150838247.2,16415881632.8757,542028.988613755
2017-08-02,860221984436.22,1606524434795580.0,166716.54641570742,437853.171577125,731435770343.43,104135939215741.44,16098836166.2109,554123.929025715
2017-08-03,860221984436.22,1555875206148550.0,160137.567564573,439873.738620744,230740532887.449,104567742743336.56,16443253958.7293,543523.719832226
2017-08-04,860221984436.22,1590667910612290.0,158202.2055576499,442592.469073737,225505642691.992,106819922571127.64,16158329401.3975,542730.935772921
2017-08-05,860221984436.22,1585688951967800.0,158378.38071372826,442592.469073736,225505642691.992,103254976709346.58,16078347512.2524,538953.218497463
2017-08-06,860221984436.22,1598932022645360.0,161828.6888632051,442592.469073736,144878792817.239,100249152871302.12,15506550393.6942,515879.191983667
2017-08-07,860221984436.22,1619967500610110.0,154494.16521749157,442788.931926343,144323701657.02,95611259208105.5,15867377782.8853,553009.385857839
2017-08-08,860221984436.22,1636256274664860.0,164044.83460042576,442804.94001063,126753916021.911,93875053883841.28,16622466014.4897,592896.612405036
2017-08-09,890357720268.375,1661334820093120.0,153869.47267109717,442804.94001063,115459053827.912,89092709938572.77,16973562751.1774,657924.301513716
2017-08-10,923233068448.906,1650126715858930.0,158573.8949460567,449372.382893781,115459053827.912,91722861183481.73,17185292921.3691,645375.434760711
2017-08-11,923233068448.906,1640151486907350.0,160528.31530741643,455763.518585451,115459053827.912,89720051154404.6,17490640060.25,618821.883309656
2017-08-12,923233068448.906,1692527131112560.0,160120.55109959023,455763.518585451,115459053827.912,87570042064968.73,17252860426.628,628386.793302707
2017-08-13,923233068448.906,1690846000062680.0,159371.62594866764,457148.536794493,115459053827.912,84990524040461.62,16134897332.7736,655964.005538363
2017-08-14,923233068448.906,1728855046751570.0,161797.47865673763,468683.464565313,115459053827.912,83745301925395.94,17163599661.6927,741724.557890496
2017-08-15,923233068448.906,1734348602399570.0,153798.7365761924,468683.464565313,115459053827.912,83797903039093.27,17341423930.1647,741474.815419934
2017-08-16,923233068448.906,1713530811032570.0,159148.90144111938,468683.464565313,115459053827.912,83827299899531.45,16476796751.7834,705936.153912245
2017-08-17,923233068448.906,1738425294123710.0,162777.92878657582,458884.960869295,115459053827.912,83122938600367.72,17214193062.1796,712795.540873257
2017-08-18,923233068448.906,1745445556311290.0,163598.66511662767,445861.116373332,115459053827.912,84921553093332.67,16846535043.8906,741337.110691342
2017-08-19,923233068448.906,1795853531629850.0,159018.79245729765,445861.116373332,115459053827.912,84987009591753.98,16191801085.8222,817051.816545148
2017-08-20,923233068448.906,1792593074371170.0,163111.76848594,445861.116373332,71785266973.362,86707805090646.84,16962386752.8937,920070.121807408
