date,btc,eth,doge,ltc,bch,etc,xmr,dash
2017-08-01,6371518.15136127,76.0306989954851,11.49325349802405,12.8200557389823,3805806.1441017,7.17907451,136799013.607298,14715.4738387111
2017-08-02,6499803.75172425,75.1913395137708,11.445071298656806,13.1683085264589,254519.085523694,7.37461206,134156968.051757,15103.8665749089
2017-08-03,5901137.61669702,71.6332967840032,11.049148546117523,12.6168217204521,401456.093651183,7.32371188,137027116.322744,14805.7347752586
2017-08-04,7654374.15499106,74.4211990288666,10.899884171862194,13.3548443210353,212988.979723215,7.44878254,134652745.011646,14814.6724328274
2017-08-05,7568850.42141574,74.0523112042306,10.864784172121322,12.6948025918243,145729.301915884,7.12552577,133986229.26877,14652.8154895574
2017-08-06,5986661.35027234,74.6346022752199,11.093431357177929,11.9247539077448,468127.650546413,6.94350353,129221253.280785,13950.5473079063
2017-08-07,6542565.61851191,76.8026569521982,10.60600626725832,12.8545158019234,559600.8696187,6.64575968,132228148.190711,15179.8330041407
2017-08-08,7012946.15317617,77.5856113735802,11.237194457963852,13.3172315415625,144922.340867394,6.48902396,138520550.120748,15976.3042438523
2017-08-09,6107869.28310813,79.1175954626547,10.486632267695608,12.7889446704923,545252.566211906,6.26380749,141446356.259811,18065.9127150319
2017-08-10,6149818.07832045,76.9580216223575,10.838782726734934,13.1349923228423,573950.069696743,6.37865279,143210774.344742,17616.7860886067
2017-08-11,6608759.7259563,77.9387680457103,11.052169584413797,13.2764906541916,384546.546696818,6.23856726,145755333.835417,16769.1616391155
2017-08-12,6195712.24308403,80.5545512359788,10.952458817325995,13.0046171254369,413244.050181655,6.06811682,143773836.888566,17148.2544259732
2017-08-13,6792336.38501064,80.7979567089428,11.012145031136836,14.2031106405281,447681.05436346,5.86460602,134457477.773113,17872.0598932144
2017-08-14,5966241.41926611,82.7508085903309,11.09933487940053,12.9771984367313,522294.563424036,5.84183863,143029997.180773,20361.0900597559
2017-08-15,6975913.04406499,82.9264219418801,10.565910549508288,12.7442146227864,642824.078060352,5.8742561,144511866.084706,19852.4638929706
2017-08-16,5966241.41926611,82.616841210287,10.909730691816508,12.2549486135021,482118.058545264,5.79183493,137306639.598195,19203.2059995697
2017-08-17,8215055.49268179,83.3927239139768,11.150410457572535,12.7515139797912,373067.545302883,5.81164904,143451608.851497,19456.8987672214
2017-08-18,6838230.54977423,83.634626642261,11.255426715529142,12.4339346111925,373067.545302883,5.95338718,140387792.032421,20199.9963335853
2017-08-19,6930018.8793014,87.6198702967003,10.916621394987155,12.1014764665082,751874.591302733,5.92562033,134931675.715185,22261.0113709898
2017-08-20,5966241.41926611,86.2592125263437,11.165170397884884,13.4534729215576,1655767.74917988,6.12695139,141353222.940781,25162.2538084456
2017-08-21,5277828.94781232,87.442289512734,11.23256452954832,12.8317801217096,2590984.40964222,5.62396755,143575961.748828,24634.4652472726
2017-08-22,4084580.6639591,87.407948725128,11.54501317858132,14.1638004646396,3225165.14865151,5.74218903,140133160.860606,23967.1676301194
2017-08-23,7297172.19741008,89.982800066586,11.756706375460292,13.3781351075872,298437.994827904,6.23446912,154677188.042616,28027.5279237097
2017-08-24,4467992.01920994,88.5413238672339,12.233880127533252,14.2265788558803,2543531.27293065,6.24095682,158954160.049621,22985.6215565727
2017-08-25,4459277.50765201,88.6254314158027,12.484748141136782,14.9318452180526,3058245.46176259,6.73453474,151054175.570454,25366.4659430311
2017-08-26,4635882.55746001,89.0975456753472,12.573382977406116,14.6242160772686,3004903.97115045,6.71305954,175359317.211396,26807.4348115024
2017-08-27,6843445.68006004,88.6743953720925,13.613158943436728,16.934778134515,328828.852275985,6.87581962,236691644.246497,28753.467255359
2017-08-28,5695512.85630802,85.0654272337891,14.505607131919998,18.3351710925838,1042972.84737197,6.90830826,221940611.182322,26405.7807443301
2017-08-29,6578538.10534803,90.3297374516435,14.480118061933208,18.2314360368973,842611.58258855,6.79107109,225758164.420806,27333.862727834
2017-08-30,7417412.09193603,91.1949530906649,15.837547090557468,20.4933846312044,510314.057060671,6.63922211,228290133.380869,29415.9949599797
2017-08-31,7196655.77967604,89.049294009372,15.175728122154815,19.091602025074,510314.057060671,6.65759999,207786706.142521,28676.690095696
2017-09-01,7682319.66664803,91.1417729156556,16.256618601305025,19.629839561436,688330.588593463,7.85939976,215354837.461248,30444.0078318535
2017-09-02,7240807.04212804,91.4874562525524,16.89385597697648,19.4668858007437,795140.507513138,9.33578367,225305676.456732,30520.8810026424
2017-09-03,6799294.41760804,92.2390728163569,17.639936650709,20.0836700366236,777338.854359859,8.86417017,226214456.554077,29615.3684674071
2017-09-04,7726470.92910003,91.6784006125064,16.87747551237095,17.8255401858278,765471.085591006,8.84293723,222951948.283567,32910.6068228157
2017-09-05,8697798.70304403,91.9596116074632,17.542374873002835,20.2547404798657,664595.051055757,8.70226546,227883425.547603,32639.499598176
2017-09-06,7283044.48578657,90.7481072233864,18.267038678621272,22.273339680053,830743.813819697,8.90598698,229423590.157163,32079.5051428121
2017-09-07,8072925.27664423,92.553904941936,17.67149566238478,21.0828095586918,1228314.06757627,8.93791612,228565529.80373,33221.2070750788
2017-09-08,8027056.38302694,97.7727062631054,19.14688913467939,22.6394857058826,1115570.26427217,9.20986916,245965191.711608,34890.0840543255
2017-09-09,7751843.02132316,95.6881437474321,17.556811500785727,21.5563155036791,937553.732739373,8.98470651,251328372.392396,33763.0883813038
2017-09-10,6329907.31918695,94.75707573209,16.711019398129263,20.3375514615063,919752.079586094,8.7132947,240278033.519409,35157.1451359346
2017-09-11,7981187.48940964,95.0975820463822,18.116857011855373,23.0389340085755,969587.811755341,8.67735355,249303032.315881,35289.378833083
2017-09-12,8623352.0000518,99.1424407673866,18.260388943637707,21.8627054263693,1051845.39597101,8.79606689,243823657.151194,35562.6939594157
2017-09-13,8715089.78728639,95.1181205728673,18.07473430490409,21.6768692737992,937395.896927537,8.7077803,257826766.953411,36401.3411879121
2017-09-14,7981187.48940964,96.7568348716705,18.71249646294588,23.2492846615359,1013695.56295652,8.79039257,253400898.377091,37908.8701858391
2017-09-15,8256400.85111342,99.1082844803821,19.11261088827857,22.4256385060548,926495.944637682,8.09895992,263847662.288288,37609.4269069092
2017-09-16,7751843.02132316,98.2334641712531,18.61356974676622,23.6945541442419,931945.920782609,8.06944394,250100160.201291,39233.8580976947
2017-09-17,8072925.27664423,100.448115483794,20.17167122034724,23.6196349476971,964645.777652174,7.81541521,253405665.270213,43455.1029351735
2017-09-18,6687570.05931123,96.8170696368565,19.853460592692485,23.5418107798299,1945641.48373912,7.65904214,247174757.993442,45686.1901337566
2017-09-19,8556655.83040941,99.9695400604929,18.876181229741803,21.5984384738677,1449693.65455072,7.58469903,234893308.6314,55078.9507446742
2017-09-20,6417491.87280707,99.2364034411337,20.768692610677306,25.3197301320662,1505949.65328231,7.32738608,238106787.722039,60491.8208022953
2017-09-21,9653662.9881542,101.506842803271,19.52614459326697,24.3924151750001,282486.028882529,7.02739117,248276520.249341,75699.7942714899
2017-09-22,7624199.74632635,102.085919690973,20.386644511742237,24.4055448904053,2181462.27333159,8.06823102,247405411.155135,87065.6157508798
2017-09-23,9105159.4092818,98.8831996375674,21.288990803420425,25.2866917399044,1871723.88255364,7.81443895,255612328.391857,103835.206850176
2017-09-24,7953301.89364978,100.165139480755,21.32051943476528,26.0091686467588,1403792.91191523,7.73405517,248766571.042026,107512.936183887
2017-09-25,6856294.73590499,95.5793133520287,21.54602862205708,25.2016944567451,1499506.06500036,7.6607662,246984413.08549,100075.241079519
2017-09-26,7569349.3884391,96.6542998771498,21.21045344797244,26.0545798012126,1664345.38420252,7.97619693,248384122.061594,114115.42165094
