LABEL,text
0,Noooooooo please not cross play between pc and Console keep that garbage away from pc gaming
0,I wish Rileys brother Barrett would come do a guest Techlinked 
0,I've seen tons of concept cars since I was a little kid. I'm now 25 and exactly 0 of those turned into a real car.
0,talks about halo 3 shows screenshot from ODST
0,So more space junk in orbit great 
0,Honestly for gaming there's no reason to choose AMD over Intel or vice versa except for a few edge cases games don't take advantage of all the cores the processor has and Intel and AMD end up having similar performance for competing processors EX: ryzen 7 v i7 . Yes in the most games and AMD is likely better but probably not to where you'd notice without looking at the frames per second or other performance metrics.
0,Frankly I have no idea why you would want to upgrade your CPU every year and if you did I would assume you would be having heaps of cash which if you did I don't know why it would be a problem to buy a new board after two or three generations
0,Hello may u have a great day
0,Yvonne & Riley combination is the best this was the best techlinked EVER Yvonne is such a natural & hilarious presenter. okay yes shes beautiful as well but Im not going to even mention that 
0,L A Z E R T R A I N 
1,Anyone tryna buy a 3090 I have one for sale
0,Huawei: no real evidence but TRUST NO MORE WORLD IN FLAMES Apps are recording screens: meh. ISPs were selling tracking data: meh 2. I see a lot of something here. It's called. bias.
0,RIP my 1050ti pricing i should have waited a year ':
0,Lol in finland we already have 5g
0,This is TechLinkeds 500th episode congratulations guys 
0,Its good to see i wasn't the only o e who chunked up this year. Thicc boy summer 
0,I love you dennis No homo
0,To be honest I feel that most people pick Intel because it was more common for a long time and don't know the equivalent for AMD Most people look at just i3 i5 and i7 while also looking at generation.
0,Even better question. What was Intel doing for the last 10 years 
0,I still wouldn't buy anything from Intel EVER They used to be an American company. Until they sold out. AMD is made in Malaysia. If I ever had to upgrade I will stay with AMD. Of course my first computer I built was an AMD k62 500 MHZ. That computer was BADASS back then. I still like my x1700.
0,The Fry's by me looked like it was going out of business almost 3 years ago.
0,I bet The Google console is going to be the next Apple pippin
1,3060 12 GiB is the 1660 miners card of today but I don't advise buying one for 4 mining when recovering ur 300 purchase over 1 year because [that's the NVDA pitch its all systematic marketing conditional subliminal but maybe NVDA is correct but may not be correct. If u really are a participant in the massive GPU mining boom u r lot so just forget it. mb
0,aint buying anything with 1 year warenty give me 5 year and ill buy it. or atleast bare minium of 3 . Anything what has 1 year warenty breaks in 2 3 years
0,I see linus finally embraced his feminine side and decided to shave his facial hair. Respect 
0,Dont buy a Vincero watch cheap crap
1,Broke: Linus has half of the worlds gpu stock Woke: Linus uses hydrogen to breathe
0,Those 85 Senators will be voted out before they'll get around to discussing a veto override. They're that lazy.
0,Got damn I love this show.
0,Should I even buy the new iPhone coming out this year 
0,Fossil smart watches are under 100 they look decent and are a great option compared to the Apple Watch
0,El Salvador is a worthless country
0,Oh these accidental leaks in 2018.so unexpected totally not marketing
0,Those glasses on the thumbnail I already knew about it when the HackSmith covered it a few weeks ago.
0,GUYS DONT BUY VINCERO THEY ARE CRAP If you want something at that price get a seiko 5
0,I tried to F5 this video.
0,looks like a mech lice.
0,James is my favorite teck quickie host LOL
0,The real secret to making money with Crypto make hardware.
0,always run shit you dont trust on a vm and with sandboxie on the vm
0,this episode was truly epic
0,all the best things in life are brown
0,0 views and 50 likes. What 
0,Riley needs to be on all the news shows hes obviously the best
0,keeping a Mustash that big is not minimalist . by the wonder what happend to your won youtube channel i subscribed . TW
0,I always block fishhy apps with firewall.
0,So . LMG hands out Pity phones 
0,I live by that fry's electronics that looks like a pyramid It's like 700 feet from a best buy and they ruined their own market by no longer selling cases and cutting their selection of internal computer parts to only the popular stuff. But yeah weird ass aztec style building
0,Didnt expect to hear that news from Bungie No wonder servers have been a little wonky since the new season dropped
0,So why no mention of price drop for some AMD processors 
0,If you wanna make sure your EXIF data don't betray you use a 10 year old compact camera. or a potato.
0,Every Thursday morning I know there will be a video for my train journey
1,This will be 4k 60 across the board with the option of 1080 at 120fps
0,ARM will replace X86 64 in the long term that is pretty inevitable in the longer term RISC V might replace ARM but at this point way too early to call. X86 64 is an archaic beast that long passed it's prime. The question is just how long until ARM replaces X86 64 obviously in the case of Apple that already happened and most phones tablets and other forms of mobile device ARM is dominate. PCs will be the hard case to crack long established OSs will take time to migrate over and ARM cpus do have a few issues which would need addressing like adding more PCI e lanes to the design for handling things like discrete GPUs better.
0,But you could buy a radar computer it just does k 12.
0,Say no homo right now 
0,https: en.wikipedia.org wiki Gamma Cassiopeiae#Names
0,outfreakingstanding love it when Dennis gets on here
0,I was trying to find the skip button at the start of the video.
0,I would have thought ARC would have had a IP or copyright on it 
1,intel new paper weight or so called GPU
0,Welp. Now we're gonna start panic buying storage.
0,We've waited so long for cyberpunk that we're literally transitioning into cyberpunk
0,I hope he doesn't star in anymore videos. Seems like a try hard.
1,At least Nvidia tries More than you can say about valve right 
0,Imagine getting Cyberpunk and Witcher games for 10 000 meanwhile i got it on steam when it was on sale pffft losers.
0,Crypto in china Wait.That's Illegal.
0,out on here before floatplane FeelsBadMan
0,Debnis is getting a little better with his camera approach I think all LTT members should do this especially Alex man he needs work 
0,Riley with a fresh haircut for valentines day 
0,All I can say is BIG OOF
0, 0:15 Riley has the AUDACITY TO ASK THAT Have you never read what you have written Riley 
