LABEL,text
0,"The Swiss are fakt up bad .  Unfortunately, no one wants that ... I'm a big fan of superior quality  .. but that I can also access  .that's how brands and companies and firms ended up in good times  superior quality    20% of stok sold in discont  for total publiciti in  ader not  acess  markets ..wit  tha real prodoct.. wel one day in tha pasd    , but wait to see others  !!  ..  which are dust orgas splater in tha dast  ...   or wastede !!!     scamars pro   tha israel documetarri and thet is sust tha tip  .05 %  probabli ...    scalpers   . and idustrial  crypo minig   ,,tha coins and sepered tha  blokching  or blocking  thwarld ..with cains and slaiv ..veri fomiliar ei !!   glo[ glul glup ...   omg  wat is theat  ..oooo shiit t..bitconeeeeeeeeeeeeeeeeeeeeeeeeeeeeect  ... lol   https://youtu.be/1VZkiQUzITU"
0,Rejoice!
0,Where can one get that shirt?!
0,5:47 Please stick to the software and the formats you're used to
0,Salvadorans get $30 in Bitcoin for free. I have dual citizenship so I'mma check how I can get it myself
0,Good video
0,Fact: this man is overweight. It just needed to br pointed out.
0,"Another Finnegan fan, small world I guess."
0,Yes! The voice mods broke to reveal that they're all Vogons! Wait! No! Stop reading beautiful tech poetry!
0,"Hey bro, you got sauce above your lip."
1,I want RTX 4080
0,1Tb in iPhones and still only 5Gb free iCloud...
0,Edge is gold
1,I'm no business person but perhaps maybe Nvidia devoting some of their resources to re-releasing old cards instead of pumping more supply of new cards couldn't possibly be a good thing?   Like why waste material on remaking 2060's instead of putting them towards something like a 3060?
1,"Sad part is, people will actually scalp up all of the 2060s because of how bad the situation is and how desperate people are to get their hands on a card that can run games and/or mine."
1,Wasn't this dude skinier two weeks ago in another nvidia video?
1,"The litecoin thing is funny but don't pretend the same thing doesn't happen to the USD, one word from a FED chair can do just as much damage."
0,Love the hair change at 1.58
0,Use Brave over chrome!
0,I liked the performance from both you all 
0,"I clicked something yesterday and it for some reason opened up Internet Explorer 11 :( not edge, IE."
1,why 12 GB for 2060? IT is too damn weak to play 4K!!
0,Sometimes Jake sounds like Cleveland from Family Guy...
0,"god, there's no beard/mustache combo that makes jake looks like an adult, maybe it's time to give up?"
1,"0:20 - Maybe Nvidia is just a fan of the Barenaked Ladies:  _Everything old is new again, everything under the sun,_ _when we run out of GPUs again, we take some old stock,_ _we turn back the clock, we sell them in a new box_ "
0,1tb on iPhone but no room for a headphone jack >>>>>>>>>>>>>>>>>>>>>>>>>>>>
0,"WAN show topic, apple and spacex teaming up"
0,Finnegan Speed and Marine
0,Kinda shocked didn't bring up that mixed reality video that the Carolina Panthers made.
1,Rather just have a 4GB 3050 Ti that would hopefully have similar performance but without needing external power. I have a living room pc that has had a 1050 for way too long. For playing most family games its fine but I would like to play those games in native 4K without sacrificing details.
1,Funny that the complaint against Crpyto is how it's manipulated... while ALL fiat currency survives only because it's constantly manipulated to appear valuable.
0,Anybody else get the Linus pulseway ad before the start of the video?
0,We do want this tech news.
1,"I just got a 3070 today, at MSRP, it's a miracle, gl gamers, it's possible."
0,jake is a better actor than linus imo haha
0,Is that Ed Sheeran?
0,Bring it
0,My respect for Jake just went up with the FSM shirt.
0,"its the mustache. they said, fuck u laduzi, we're putting him front and center now lol"
0,You think Microsoft makes it hard to switch browsers? You should see how many notifications Google pops up if you switch away from Chrome!
0,"Hell yeah, Finnegan Speed & Marine!"
1,RTS 2060
0,"I use edge all the time, not sure what's the issue."
0,"Firefox has been a glaring security hole since the 90s, anyone using it, is opening the FRONT door to hackers. Edge is smooth and fast if you know how to manage your computer properly. As a matter of fact, you gave a prime example of it: Firefox CRACKED windows ability to set default browser, why tf would they have to do that if they were legit? crack more things open, firefox, crack tpm 2.0 while you're at it."
0,0:08 English speakers  :( French speakers  :)
