"Date","Open","High","Low","Close","Adj Close","Volume"
2014-05-06,"2182.750000","2205.750000","2165.000000","2172.750000","2172.750000","41"
2014-05-07,"2152.250000","2152.250000","2146.000000","2149.000000","2149.000000","35"
2014-05-08,"2150.000000","2150.000000","2130.000000","2141.750000","2141.750000","25"
2014-05-09,"2133.500000","2133.500000","2107.250000","2107.250000","2107.250000","14"
2014-05-12,"2086.000000","2088.250000","2086.000000","2088.250000","2088.250000","4"
2014-05-13,"2085.250000","2085.250000","2085.250000","2085.250000","2085.250000","0"
2014-05-14,"2110.000000","2145.500000","2110.000000","2110.000000","2110.000000","3"
2014-05-15,"2142.750000","2142.750000","2115.500000","2115.500000","2115.500000","6"
2014-05-16,"2106.250000","2106.250000","2106.250000","2106.250000","2106.250000","0"
2014-05-19,"2113.750000","2113.750000","2113.750000","2113.750000","2113.750000","0"
2014-05-20,"2106.750000","2106.750000","2106.750000","2106.750000","2106.750000","0"
2014-05-21,"2106.750000","2106.750000","2106.750000","2106.750000","2106.750000","21"
2014-05-22,"2123.000000","2136.000000","2123.000000","2136.000000","2136.000000","15"
2014-05-23,"2154.750000","2154.750000","2150.000000","2150.000000","2150.000000","10"
2014-05-27,"2159.250000","2159.250000","2158.000000","2159.250000","2159.250000","16"
2014-05-28,"2171.500000","2178.500000","2174.250000","2174.250000","2174.250000","11"
2014-05-29,"2179.250000","2179.250000","2179.250000","2179.250000","2179.250000","0"
2014-05-30,"2177.250000","2177.250000","2177.250000","2177.250000","2177.250000","14"
2014-06-02,"2186.000000","2186.000000","2186.000000","2186.000000","2186.000000","0"
2014-06-03,"2204.000000","2204.000000","2198.000000","2198.000000","2198.000000","7"
2014-06-04,"2189.750000","2189.750000","2189.750000","2189.750000","2189.750000","0"
2014-06-05,"2201.000000","2201.000000","2201.000000","2201.000000","2201.000000","20"
2014-06-06,"2222.250000","2222.250000","2222.250000","2222.250000","2222.250000","0"
2014-06-09,"2261.750000","2261.750000","2257.000000","2257.000000","2257.000000","5"
2014-06-10,"2250.750000","2250.750000","2250.750000","2250.750000","2250.750000","31"
2014-06-11,"2224.500000","2224.500000","2222.250000","2222.250000","2222.250000","3"
2014-06-12,"2183.000000","2183.000000","2183.000000","2183.000000","2183.000000","0"
2014-06-13,"2190.250000","2190.250000","2190.250000","2190.250000","2190.250000","0"
2014-06-16,"2192.500000","2206.750000","2192.500000","2206.750000","2206.750000","10"
2014-06-17,"2196.250000","2196.250000","2190.750000","2195.750000","2195.750000","21"
2014-06-18,"2211.000000","2211.000000","2211.000000","2211.000000","2211.000000","0"
2014-06-19,"2225.750000","2225.750000","2225.750000","2225.750000","2225.750000","35"
2014-06-20,"2221.500000","2221.500000","2221.500000","2221.500000","2221.500000","0"
2014-06-23,"2238.250000","2238.250000","2231.250000","2231.250000","2231.250000","24"
2014-06-24,"2247.500000","2247.500000","2247.500000","2247.500000","2247.500000","29"
2014-06-25,"2245.750000","2245.750000","2235.750000","2245.750000","2245.750000","14"
2014-06-26,"2241.750000","2241.750000","2241.750000","2241.750000","2241.750000","8"
2014-06-27,"2233.250000","2233.250000","2233.250000","2233.250000","2233.250000","0"
2014-06-30,"2242.250000","2242.250000","2242.250000","2242.250000","2242.250000","0"
2014-07-01,"2234.250000","2234.250000","2234.250000","2234.250000","2234.250000","0"
2014-07-02,"2268.500000","2268.500000","2268.500000","2268.500000","2268.500000","0"
2014-07-03,"null","null","null","null","null","null"
2014-07-07,"2267.500000","2267.500000","2267.500000","2267.500000","2267.500000","0"
2014-07-08,"2280.250000","2280.750000","2280.250000","2280.750000","2280.750000","21"
2014-07-09,"2278.500000","2278.500000","2278.500000","2278.500000","2278.500000","0"
2014-07-10,"2249.750000","2272.750000","2249.750000","2272.750000","2272.750000","5"
2014-07-11,"2290.250000","2290.250000","2290.250000","2290.250000","2290.250000","5"
2014-07-14,"2291.500000","2291.500000","2291.500000","2291.500000","2291.500000","0"
2014-07-15,"2293.750000","2293.750000","2293.750000","2293.750000","2293.750000","10"
2014-07-16,"2311.500000","2311.500000","2311.500000","2311.500000","2311.500000","2"
