"Date","USD (AM)","USD (PM)","GBP (AM)","GBP (PM)","EURO (AM)","EURO (PM)"
2021-09-10,1799.9,1794.6,1297.55,1293.91,1519.3,1516.44
2021-09-09,1795.35,1788.25,1299.12,1292.01,1517.61,1513.57
2021-09-08,1797.95,1786,1306.57,1297.53,1521.25,1511.49
2021-09-07,1810.75,1802.15,1310.26,1307.1,1525.01,1520.65
2021-09-06,1823.85,1821.6,1318.1,1317.02,1538.05,1535.06
2021-09-03,1812.05,1823.7,1309.39,1316.53,1526.11,1534.46
2021-09-02,1815.15,1812.55,1316.53,1311.74,1532.17,1528.52
2021-09-01,1813.9,1811.8,1318.89,1314.82,1535.1,1530.61
2021-08-31,1814.3,1814.85,1317.18,1316.49,1534.17,1534.82
2021-08-27,1795.5,1798.5,1310.72,1307.15,1527.61,1525.67
2021-08-26,1783.8,1786.6,1298.43,1302.43,1516.23,1520.04
2021-08-25,1794.7,1788.7,1307.8,1303.6,1527.29,1521.83
2021-08-24,1802.95,1808.45,1314.71,1318,1536.29,1538.63
2021-08-23,1786.9,1802,1308.19,1315.82,1524.23,1536.57
2021-08-20,1782.95,1779.05,1309.58,1305.47,1527.1,1523.58
2021-08-19,1788.2,1782.05,1307.89,1301.79,1530.16,1523.3
2021-08-18,1788.1,1783.45,1300.13,1295.32,1525.61,1522
2021-08-17,1794.05,1789.45,1299.61,1300.57,1524.22,1524.61
2021-08-16,1775.75,1786.35,1281.91,1291.53,1507.61,1517.15
2021-08-13,1757.65,1773.85,1273.59,1281.07,1496.64,1506.35
2021-08-12,1755.5,1747.4,1266.24,1262.85,1494.81,1489.66
2021-08-11,1734.05,1743.6,1255.45,1258.88,1480.53,1486.42
2021-08-10,1729.55,1723.35,1248.22,1244.6,1475.13,1471.05
2021-08-09,1741.5,1738.85,1253.88,1254.06,1481.32,1479.24
2021-08-06,1799.45,1762.9,1292.9,1269.64,1523.59,1497.58
2021-08-05,1811.2,1800.75,1302.07,1294.92,1529.74,1521.63
