Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,3.327650,3.878730,3.297880,3.753940,3.753940,574556
2014-09-18,3.775540,3.950010,3.588730,3.868900,3.868900,438932
2014-09-19,3.865930,3.924180,3.372750,3.432100,3.432100,353146
2014-09-20,3.429370,3.577550,3.144340,3.183440,3.183440,211501
2014-09-21,3.177560,3.269970,2.921020,2.970510,2.970510,142460
2014-09-22,2.972540,3.401100,2.967880,3.361460,3.361460,138652
2014-09-23,3.360360,3.507590,3.166680,3.400120,3.400120,146543
2014-09-24,3.417560,10.311800,3.337780,3.341920,3.341920,74906
2014-09-25,3.340080,3.340080,2.933090,3.002270,3.002270,102167
2014-09-26,3.001740,3.053530,2.799890,2.890440,2.890440,99224
2014-09-27,2.883720,2.968900,2.767580,2.840280,2.840280,69607
2014-09-28,2.840000,3.042430,2.747330,2.902690,2.902690,120161
2014-09-29,2.898380,3.049210,2.823590,2.850750,2.850750,75316
2014-09-30,2.857130,2.968250,2.615730,2.700590,2.700590,154649
2014-10-01,2.703860,2.878780,2.446130,2.463220,2.463220,223263
2014-10-02,2.463270,2.490400,2.413910,2.439330,2.439330,45955
2014-10-03,2.436700,2.515860,2.364980,2.401810,2.401810,58977
2014-10-04,2.403720,2.504650,2.164510,2.235840,2.235840,55246
2014-10-05,2.236140,2.321380,2.071980,2.253860,2.253860,54743
2014-10-06,2.253130,2.416950,2.138790,2.247530,2.247530,51204
2014-10-07,2.251150,2.344330,2.050140,2.125330,2.125330,149260
2014-10-08,2.120560,2.355090,2.094790,2.338770,2.338770,61348
2014-10-09,2.333260,2.457040,2.262640,2.396010,2.396010,107387
2014-10-10,2.394540,2.465360,2.234340,2.237900,2.237900,63434
2014-10-11,2.236540,2.281840,2.043510,2.165370,2.165370,103367
2014-10-12,2.164340,2.177690,2.044980,2.138140,2.138140,90788
2014-10-13,2.130840,2.619320,2.040100,2.568280,2.568280,136242
2014-10-14,2.571670,2.571670,2.037120,2.062420,2.062420,218533
2014-10-15,2.069470,2.244450,2.003500,2.068110,2.068110,87647
2014-10-16,2.072320,2.298070,2.072320,2.175080,2.175080,104953
2014-10-17,2.176180,2.478920,2.136580,2.274270,2.274270,82247
2014-10-18,2.275520,2.355430,2.212590,2.294300,2.294300,40729
2014-10-19,2.293270,2.317200,2.236540,2.265800,2.265800,41570
2014-10-20,2.264180,2.281260,2.077820,2.105870,2.105870,111213
2014-10-21,2.103630,2.194640,2.061760,2.076150,2.076150,70427
2014-10-22,2.071200,2.187390,2.042360,2.069110,2.069110,100270
2014-10-23,2.068500,2.119970,2.029240,2.105540,2.105540,50299
2014-10-24,2.102100,2.109460,1.998970,2.036460,2.036460,61719
2014-10-25,2.026330,2.049400,1.915320,1.918790,1.918790,40232
2014-10-26,1.916900,2.005970,1.904470,1.926580,1.926580,40296
2014-10-27,1.925310,1.961210,1.898390,1.912400,1.912400,31037
2014-10-28,1.922030,1.946580,1.882340,1.897010,1.897010,33227
2014-10-29,1.894540,1.908830,1.595140,1.611050,1.611050,135790
2014-10-30,1.608660,1.799740,1.606890,1.786990,1.786990,90240
2014-10-31,1.780830,1.824680,1.731260,1.789920,1.789920,53915
2014-11-01,1.791360,1.819020,1.616410,1.667980,1.667980,32686
2014-11-02,1.669040,1.753050,1.652640,1.660610,1.660610,41301
2014-11-03,1.658910,1.729720,1.628910,1.629180,1.629180,38374
2014-11-04,1.624490,1.712020,1.571800,1.651060,1.651060,67425
2014-11-05,1.648200,1.782500,1.648200,1.751620,1.751620,61099
2014-11-06,1.751450,1.990710,1.743500,1.989270,1.989270,82374
2014-11-07,1.993110,2.504280,1.988510,2.131510,2.131510,383517
2014-11-08,2.130080,2.758140,2.116830,2.734540,2.734540,310275
2014-11-09,2.733470,3.010590,2.682300,2.991270,2.991270,375396
2014-11-10,2.984280,2.996380,2.522270,2.533090,2.533090,311577
2014-11-11,2.536270,2.647490,2.380590,2.426430,2.426430,193795
2014-11-12,2.430470,2.847130,2.430470,2.639610,2.639610,229563
2014-11-13,2.656320,2.768290,2.470010,2.577280,2.577280,108337
2014-11-14,2.559580,2.559580,2.287110,2.412520,2.412520,106611
2014-11-15,2.422970,2.495590,2.285550,2.487660,2.487660,83032
2014-11-16,2.483590,2.774270,2.483590,2.737880,2.737880,135202
2014-11-17,2.731240,2.782200,2.290500,2.333690,2.333690,225043
2014-11-18,2.325940,2.450230,2.302810,2.360020,2.360020,217493
2014-11-19,2.365140,2.435360,2.341820,2.375630,2.375630,87226
2014-11-20,2.369470,2.371640,2.252560,2.264700,2.264700,111780
2014-11-21,2.263520,2.274690,2.199880,2.217760,2.217760,52991
2014-11-22,2.221700,2.302320,2.203830,2.260140,2.260140,56526
2014-11-23,2.255400,2.332290,2.242140,2.306700,2.306700,52642
2014-11-24,2.297660,2.385560,2.273490,2.324820,2.324820,59481
2014-11-25,2.306700,2.422050,2.275760,2.371230,2.371230,59745
2014-11-26,2.368660,2.443280,2.328390,2.364470,2.364470,98080
2014-11-27,2.394930,2.398770,2.294360,2.324650,2.324650,85433
2014-11-28,2.328880,2.410810,2.277220,2.376540,2.376540,46759
2014-11-29,2.378650,2.439140,2.347350,2.374780,2.374780,57108
2014-11-30,2.400260,2.425060,2.344140,2.385140,2.385140,43116
2014-12-01,2.382390,2.408950,2.346040,2.368780,2.368780,46362
2014-12-02,2.358540,2.449140,2.330840,2.430350,2.430350,93651
2014-12-03,2.427670,2.438330,2.359090,2.429730,2.429730,78398
2014-12-04,2.434660,2.461190,2.316450,2.325660,2.325660,72131
2014-12-05,2.326130,2.384730,2.314680,2.373120,2.373120,53824
