"Date","Open","High","Low","Close","Adj Close","Volume"
2016-07-24,0.752345,0.959354,0.737342,0.928814,0.928814,17769300
2016-07-25,0.931993,0.932862,0.452446,0.602402,0.602402,9308400
2016-07-26,0.604737,2.84546,0.600358,2.55348,2.55348,103066000
2016-07-27,2.45834,2.45834,1.2625,1.60203,1.60203,62645700
2016-07-28,1.56177,1.92115,1.36926,1.73045,1.73045,40291300
2016-07-29,1.71193,1.8028,1.55285,1.63571,1.63571,20745500
2016-07-30,1.65513,1.70693,1.55406,1.56905,1.56905,10061600
2016-07-31,1.5707,1.91362,1.55725,1.79855,1.79855,29167500
2016-08-01,1.79286,2.34114,1.77913,2.34114,2.34114,45924200
2016-08-02,2.36117,3.53325,2.30669,2.76151,2.76151,147855008
2016-08-03,2.77539,3.19704,2.35686,2.60015,2.60015,74184496
2016-08-04,2.58928,2.76473,2.102,2.3439,2.3439,43516500
2016-08-05,2.34703,2.59872,2.27532,2.58675,2.58675,20254400
2016-08-06,2.58527,2.85766,2.5718,2.69725,2.69725,22874700
2016-08-07,2.70223,2.74246,2.05749,2.14667,2.14667,31153900
2016-08-08,2.1569,2.37813,2.05065,2.18516,2.18516,15781200
2016-08-09,2.17431,2.22061,1.79468,1.94857,1.94857,23612300
2016-08-10,1.94414,2.04484,1.64072,1.7117,1.7117,20082200
2016-08-11,1.71747,1.95721,1.58705,1.85058,1.85058,17263000
2016-08-12,1.84385,2.08961,1.80075,1.84923,1.84923,15418800
2016-08-13,1.85667,1.93432,1.82244,1.87278,1.87278,3822490
2016-08-14,1.86836,1.97742,1.86717,1.9274,1.9274,6985300
2016-08-15,1.92733,2.00462,1.83262,1.86023,1.86023,7282060
2016-08-16,1.86501,1.89568,1.80126,1.85675,1.85675,4062150
2016-08-17,1.86035,1.86907,1.72332,1.73818,1.73818,5087980
2016-08-18,1.74213,1.78261,1.65354,1.68789,1.68789,4469650
2016-08-19,1.68405,1.80598,1.61286,1.78767,1.78767,6186480
2016-08-20,1.78004,1.78004,1.68051,1.74444,1.74444,3315060
2016-08-21,1.74512,1.77399,1.70345,1.72163,1.72163,1866780
2016-08-22,1.72625,1.74409,1.62327,1.6684,1.6684,4757220
2016-08-23,1.67478,1.68182,1.55873,1.60436,1.60436,6292880
2016-08-24,1.60646,1.64127,1.44264,1.44264,1.44264,6191350
2016-08-25,1.44182,1.44965,1.26497,1.37203,1.37203,9500860
2016-08-26,1.37089,1.47334,1.31402,1.43794,1.43794,6251250
2016-08-27,1.43975,1.45867,1.34616,1.34616,1.34616,3494870
2016-08-28,1.34682,1.36153,1.28626,1.31856,1.31856,4837510
2016-08-29,1.31882,1.3421,1.23235,1.26234,1.26234,6289800
2016-08-30,1.26047,1.30957,1.15128,1.23556,1.23556,6984970
2016-08-31,1.23645,1.27791,1.16559,1.18438,1.18438,6098980
2016-09-01,1.18873,1.48609,1.17298,1.44343,1.44343,13501800
2016-09-02,1.45902,1.47581,1.36732,1.39255,1.39255,6325890
2016-09-03,1.39842,1.39878,1.31789,1.34186,1.34186,4659540
2016-09-04,1.34398,1.45723,1.32199,1.45723,1.45723,3690740
2016-09-05,1.46392,1.5304,1.43431,1.45482,1.45482,4621750
2016-09-06,1.45687,1.50554,1.43588,1.46615,1.46615,2566580
2016-09-07,1.46603,1.48196,1.44195,1.4788,1.4788,2868960
2016-09-08,1.47869,1.51371,1.43889,1.43889,1.43889,2554920
2016-09-09,1.42272,1.43261,1.37445,1.39563,1.39563,2336300
2016-09-10,1.39727,1.44551,1.39457,1.41856,1.41856,1485050
2016-09-11,1.41687,1.42724,1.32629,1.3391,1.3391,4152550
2016-09-12,1.33641,1.34643,1.3065,1.3199,1.3199,1735650
2016-09-13,1.3235,1.33068,1.28571,1.28759,1.28759,1627740
2016-09-14,1.28602,1.30725,1.25388,1.29014,1.29014,1593070
2016-09-15,1.29156,1.30965,1.27414,1.27883,1.27883,1366170
2016-09-16,1.2789,1.33749,1.27354,1.32279,1.32279,1873990
2016-09-17,1.32319,1.32544,1.30326,1.3227,1.3227,1030080
2016-09-18,1.32326,1.34797,1.31627,1.3243,1.3243,1962480
2016-09-19,1.32401,1.32682,1.277,1.2776,1.2776,1355970
2016-09-20,1.27489,1.27854,1.23895,1.24947,1.24947,2456390
2016-09-21,1.23749,1.26361,1.22365,1.22471,1.22471,2655260
2016-09-22,1.22035,1.32848,1.13462,1.25487,1.25487,6841360
2016-09-23,1.25217,1.29346,1.22356,1.24076,1.24076,1704280
2016-09-24,1.24273,1.25062,1.22274,1.25009,1.25009,876236
2016-09-25,1.25207,1.25242,1.20885,1.21064,1.21064,972037
2016-09-26,1.21134,1.22159,1.19823,1.1991,1.1991,1228960
2016-09-27,1.1989,1.20902,1.16586,1.20102,1.20102,1938500
2016-09-28,1.20211,1.27384,1.19568,1.2454,1.2454,2066680
2016-09-29,1.24579,1.28685,1.22473,1.26786,1.26786,1282790
2016-09-30,1.26872,1.2708,1.23962,1.25563,1.25563,745522
2016-10-01,1.25692,1.26231,1.17356,1.19296,1.19296,2443730
2016-10-02,1.19243,1.2197,1.18563,1.19363,1.19363,983089
2016-10-03,1.19383,1.22208,1.16511,1.19464,1.19464,1573360
2016-10-04,1.19451,1.20035,1.15981,1.1609,1.1609,1142370
2016-10-05,1.16137,1.22628,1.15812,1.18904,1.18904,1992410
2016-10-06,1.18855,1.19363,1.16206,1.17472,1.17472,1017020
2016-10-07,1.1738,1.18339,1.15336,1.17002,1.17002,1012830
2016-10-08,1.17053,1.19615,1.16006,1.18347,1.18347,988691
2016-10-09,1.18346,1.18903,1.16862,1.16869,1.16869,397777
2016-10-10,1.16939,1.17216,1.14831,1.15271,1.15271,1148440
2016-10-11,1.15188,1.17017,1.0923,1.0959,1.0959,2255700
2016-10-12,1.09763,1.10369,1.01058,1.0353,1.0353,2752650
2016-10-13,1.03563,1.04845,0.985671,1.00956,1.00956,1430120
2016-10-14,1.01149,1.01313,0.987065,0.991068,0.991068,928586
2016-10-15,0.990989,0.998779,0.990081,0.992573,0.992573,574708
2016-10-16,0.992743,1.20673,0.990742,1.20086,1.20086,3374640
2016-10-17,1.20055,1.20055,1.06854,1.07425,1.07425,3167420
2016-10-18,1.07446,1.0764,1.01937,1.06055,1.06055,1721510
2016-10-19,1.05741,1.08101,1.03031,1.0541,1.0541,1033890
2016-10-20,1.05446,1.05748,1.03668,1.04289,1.04289,715948
2016-10-21,1.04222,1.05934,1.02775,1.03187,1.03187,787404
2016-10-22,1.0302,1.05411,1.02745,1.0459,1.0459,1046830
2016-10-23,1.04603,1.05386,1.03022,1.04652,1.04652,548805
2016-10-24,1.04638,1.05479,1.02525,1.0289,1.0289,613841
2016-10-25,1.02937,1.03993,1.00669,1.01865,1.01865,1434440
2016-10-26,1.01853,1.03855,1.01427,1.03218,1.03218,798289
2016-10-27,1.03158,1.04327,0.98783,0.995753,0.995753,2343270
2016-10-28,0.995573,1.00054,0.942647,0.942647,0.942647,1298910
2016-10-29,0.94084,0.972594,0.872589,0.889612,0.889612,2566530
2016-10-30,0.890189,0.954583,0.885454,0.927473,0.927473,1311260
2016-10-31,0.93045,0.93045,0.897589,0.903216,0.903216,878220
2016-11-01,0.901279,0.904825,0.870474,0.884664,0.884664,1320260
2016-11-02,0.88515,0.900933,0.876185,0.885256,0.885256,677927
2016-11-03,0.887828,0.921573,0.882403,0.893556,0.893556,1340080
2016-11-04,0.894031,1.00123,0.891135,0.972006,0.972006,2084100
2016-11-05,0.971074,1.06359,0.9581,1.04105,1.04105,1950000
2016-11-06,1.04089,1.04089,0.971174,0.982655,0.982655,1078790
2016-11-07,0.986716,1.00043,0.927765,0.927765,0.927765,1030590
2016-11-08,0.930693,0.948537,0.923585,0.943784,0.943784,573276
2016-11-09,0.941046,0.941046,0.90849,0.913514,0.913514,976848
2016-11-10,0.913579,0.956011,0.898123,0.921264,0.921264,626060
2016-11-11,0.923158,0.942383,0.897221,0.917606,0.917606,487773
2016-11-12,0.917254,0.942472,0.902713,0.909944,0.909944,727877
2016-11-13,0.910538,0.921815,0.902149,0.902412,0.902412,475268
2016-11-14,0.900257,0.909434,0.886552,0.888597,0.888597,272128
2016-11-15,0.891515,0.930568,0.883773,0.922699,0.922699,671820
2016-11-16,0.925537,0.929437,0.907834,0.909567,0.909567,952217
2016-11-17,0.909435,0.912217,0.891184,0.893229,0.893229,479144
