LABEL,text,like,published_month
1, i honestly dont see why nvidia will want to do this tbh they getting demand like theyve never had before that being said i want a rtx 3080 but its never in stock ,0,Apr-21
1, i believe that nvidia has filed a patent for that silly controller and probably many more designs they will never make the patents they have are nice if someone else makes a close enough design in the future to extort money out of that vendor and make money on a otherwise useless patent you would be amazed if you look at the almost endless flow of patents just used this way the patent system sadly is broken as hell as is the protection of names those where made to protect inventors investments but have grown in a business model of it's own ,0,Jan-21
1, so the leaks that nvidia said won't be accurate because the previous leaks where nvidia said they won't be accurate but were were accurate lol ,1,Feb-19
2, soon we might be able to have enough space to load a computer from the memory of a video card ,3,Sep-21
1, i like nvidia but this move by them is total bs however it'll be hacked as soon as it's released there is no such thing as totally secure ,0,Feb-21
1, that mining limiter refresh is not a real story everyone is using each other as the source at no point has nvidia confirmed it ,0,Apr-21
2, hahaha glad i did not stand in line at micro center for days to get one 3080ti is my card ,0,Sep-20
2, the rtx 2060 is a really good card i like ltt but get off that ivory 3080 3090 tower if this card is around 400 during the chip shortage it'll be a 200 win the 6 gb 2060 msrp was at 360 it probably won't though it'll be overpriced out of the gate because of the shortage but it's still a win to have anything on the shelves it's really nice they are bringing a 300 card back with more vram for higher resolution gaming etc given the shortage i just hope it lasts on shelves a bit and doesn't get scalped we can always hope retailers vet the sales better ,1,Sep-21
1, due to the incompetence of many e tailers not using captcha or any bot protection at all the chance of people other than scalpers getting a 3070 are slim maybe they will properly stock the stores as thats the only chance you will get it in person anytime the 3080 gets restocked online it is still being picked up by bots what a joke of a launch of a new series of cards ,0,Sep-20
2, free tip use pcpartpicker for finding in stock gpus it works i found an rtx 3070 and rtx 3080 for msrp ,2,Nov-20
1, nvidia cmp mining gpus are basically trash the mh is half what a new gpu will do at the exact same wattage so it actually makes more sense to buy the crippled gpu because it might actually have slightly better efficiency the only saving grace would be if they aggressively price these cards wayy below the price of newer or even older cards but it's nvidia so you know it's gonna be stupid expensive ,0,Feb-21
1, if amd loved us they would not have rx 5600 xt sapphire pulse cards that if you install the drivers when the screen turns off it stays off forever or until you reinstall windows and linux forget it ,0,May-20
2, rt rtx sweet a shame those cards will have to wait until my 2 cards i bought in january breaks in about 4 8 years i only upgrade buy new components upon component failure looking forward to see what ray tracing cards looks like in 2026 and how well they will work with blender can't wait to see how rtx cards perform d ,0,Aug-18
1, the cards will be only marginally better if at all to their gtx counterparts and be only superior in raytraicing which no game currently offers and just a couple of them will have limited implementation in the next year at a ridiculous premium over the already ridiculous prices that's why they still sell gtx cards and prices even in the official nvidia store are still standing much higher over mspr and also that's why we did not see any benchmarks ,19,Aug-18
0, if they called it an 1160 theyre concerned it will be confused with 10 series cards and if they call it a 2050 theyre concerned itll be confused with rtx cards 1660 rolls off the tongue and thats probably why they chose it ,0,Feb-19
0, taiwan and most of southeast asia was hit by a massive typhoon which has likely disrupted logistics nvidia announced the delay right after the typhoon hit over the weekend this is more than likely the reason for the delay ,13,Sep-18
1, 4x better than the x 8k res 120fps sony fanboys be like that graphics are trash and its super slow windows gamer gives him slap how dare you this is the brother of windows nintendo f their better now i think we just must make better motion controlls ,0,Jun-19
1, nvidia got fucked over by greedy game publishers and devs that didnt want players to play games they already paid for ,0,Mar-20
1, why are they already making a new card when they cant even keep up with demand it don't make sense put all the effort into developing selling the 3070 80 and 90 ,0,Nov-20
2, how old are you i am so old i can remember when tnt2 was cool 3dfx voodoo was cooler and geforce was this weird new brand from the tnt2 guys also quake 3 and unreal tournament the first one was the bomb but i was the poor kid with my sis graphics card so only warcraft 2 red alert 1 2 and half life in software mode for me ,0,Aug-20
1, i'm so tired of these gpu prices i'm still running one of my two gtx 760's his brother died long ago ,0,Jun-18
1, it can overload the capacitors causing a crash well isn't that a gross oversimplification of the issue of proper supply rail decoupling using high quality properly calculated capacitors to decrease the amount of supply noise induced jitter in order to ensure maximum stability of the gpu ,0,Sep-20
2, nvidia could've added mining locks on all nvidia cards except for the gtx 480 and before now that's what i call very epic at least miners can mine on amd cards cuz they are ok pricing and very epic performance or a gameboy graphics for the gamers boii ,0,Apr-21
1, rip nvidia took the easy road everyone knows retailers don't give a flying fuck about scalpers as long as the stock sells it means nothing else so prepare to add a few extra months of wait and stupidly jacked up prices on 3070 3080 gpus ,0,Oct-20
0, if they sold only 10 of the cards people want to buy now and it has been 1 month then you can buy a 3080 next fall ok or summer as earliest with amd joining the hype of not having any cards ,0,Dec-20
2, imho like the rtx 2k series when they had gtx 1660 cards why not a gtx 2660 i e no raytracing dlss yes nvidia notice my fatcat avatar and hire me for your products dept ,0,Jan-21
2, you all say that you cant play with bugs and low frames that drop to 120 we in latinamerica loving what we have with rtx potato on our base consoles and hamster engined pc's ,0,Dec-20
1, i had to buy a laptop for school in july i needed something that would last a while so i got a 1065g7 but it kind of sucks now that the 11th gen 1135g7 beats it and has way better integrated graphics at least i didn't buy a 2080ti a few months back ,0,Oct-20
0, kotor 1 2 rtx please because at this point we will never get a remaster from bioware and if we did it would have loot boxes in it ,2,Oct-19
2, i want it for rs 200 or less no more tho also 12 gb vram will be good for gpu rendering in blender ,0,Sep-21
1, reviewers and journalists who got sent free gpus got their shit bricked when trying a new game my heart bleeds for them ,0,Jul-21
2, idk the zen 2 chips look dope as fuck but the radeons still don't seem worth it not only are they barley on par in tests they chose for their cards but the cards are now uglier than ever and you don't get ray tracing buying amd is like buying nvidea but you just don't get ray tracing which makes no sense whether you like it or not it is still free and takes nothing more from you ,0,Jun-19
0, cool another high end gaming gpu how many megahash this time and who are the two people who are able to get it ,2,Aug-21
0, i'm not buying minecraft rtx if they keep it only in the bedrock version java version is awesome yes there's a lot of bugs in the java version but it makes it so much fun for me ,0,Aug-19
2, i'm hoping they're going to sell those excess gpus for just 10 per gpu that excess would turn into recess ,0,Jun-18
2, i saw this and i was hoping that amd matched the gram of the rtx3090 but yet i choosed nvidia for this one for professional purposes but hats off to amd they crushed it ,0,Oct-20
0, since nvidia sits on 300k gpu chips they will bring some intermediate 10 series with gddr6 as a special and offset the 11 series ,0,Jun-18
0, watching this and confused as hell saying that i swear that the rtx was released then saw the upload date facepalm ,0,May-21
1, its 1180 why would they change the number progression they have kept this while time if the next isnt called 1180 i will say piss off to nvidia and not upgrade my card but wait for amd ,0,Aug-18
1, i have to assume that the unhackable claim is a marketing 4d chess to artificially increase sales by people who are going to hack it just to spite nvidia i mean there's no way that a major hardware manufacturer can be that stupid given the literal decades worth of computer security research that has gone into repeatedly refuting this claim right i mean there's been cases where software has been hacked hours after launch they can't be that stupid right right ,0,Feb-21
2, i think the gpu shortege is going away very soon because at my local microcenter has a bunch of 6600xt 3080ti 6900xt 3060 3060 ti most times of the week oh and also most 3090s but only at about 10 at a time so yeah also new egg is getting a lot of strix 3090 btw so use the app hot stocks if u want a gpu for msrp ,1,Aug-21
0, a video card does it have its own case power supply hard drive etc so it will do everything without the rest of the normal computer components ,0,Apr-19
